dN	dS
0.04600	0.55840
0.02610	0.51840
0.00570	0.51120
0.02650	0.54960
0.06280	0.51980
0.10630	0.73270
0.00110	0.24920
0.00980	0.60450
0.01960	0.34980
0.00240	1.00930
0.18010	0.67740
0.19030	0.70890
0.19530	0.74660
0.00610	0.39620
0.01410	0.54230
0.08030	0.79010
0.13530	0.45080
0.04910	0.49200
0.04250	0.57990
0.01970	0.53140
0.03130	0.80970
0.21820	0.69320
0.21710	0.69230
0.16700	0.73160
0.21430	0.71010
0.19790	0.69730
0.16680	0.72570
0.09150	0.84180
0.43040	2.46140
0.08570	0.68440
0.08130	0.94740
0.26190	1.02730
0.02560	0.41080
0.16050	0.74550
0.23180	0.97610
0.00540	0.84460
0.12030	0.63470
0.02550	0.35330
0.00930	0.15440
0.04420	0.51400
0.08420	0.53890
0.11040	0.95550
0.08600	0.80230
0.00000	0.77770
0.08670	1.21660
0.05940	0.96760
0.03620	1.03230
0.07120	0.49950
0.01250	0.34980
0.05990	0.78850
0.04700	0.50220
0.13210	0.48250
0.00690	0.40360
0.02140	0.34870
0.04510	0.47360
0.01990	0.37400
0.04550	0.65130
0.00480	0.46900
0.01430	0.68540
0.11000	1.87660
0.03340	0.51910
0.02000	0.43280
0.00460	0.48520
0.06440	0.62080
0.06410	0.61460
0.06360	0.62210
0.04610	0.43510
0.01990	0.55780
0.01580	0.38550
0.12440	1.18930
0.05340	0.67990
0.04600	0.68630
0.00960	0.59330
0.02310	0.96340
0.03440	0.34000
0.01740	1.82630
0.01770	0.79380
0.02710	0.67610
0.09180	0.33940
0.20600	0.98420
0.06700	0.80730
0.07890	0.84600
0.07880	1.02760
0.17150	0.55600
0.27540	0.76780
0.02670	0.86620
0.05440	0.57720
0.03080	0.44100
0.09440	0.53500
0.14360	0.43190
0.01450	0.73400
0.02820	0.72820
0.01550	0.47900
0.08270	0.40170
0.01030	0.57140
0.00250	0.27500
0.03810	0.53500
0.03590	0.53260
0.24190	0.94530
0.04590	0.63050
0.13380	0.61860
0.07660	0.64030
0.12620	0.53830
0.05220	0.31300
0.12580	0.77590
0.02900	0.51210
0.14480	0.74320
0.04640	0.72640
0.00540	0.27470
0.02870	0.49000
0.02180	0.94820
0.05080	0.32600
0.07870	0.30800
0.01800	0.40070
0.02630	0.98240
0.00880	0.48590
0.01050	0.45030
0.00510	0.45750
0.04730	0.42520
0.01860	0.38010
0.01880	0.51740
0.02670	0.60260
0.11270	0.73960
0.00100	0.44570
0.21210	0.37190
0.03670	0.48270
0.04900	0.62800
0.01000	0.41700
0.02850	0.81300
0.04560	0.41180
0.03330	0.52410
0.08250	0.48860
0.20890	0.79650
0.01850	0.31950
0.14150	0.50960
0.10510	0.70910
0.00140	0.30720
0.04720	0.79450
0.13270	0.56830
0.01330	0.67410
0.01500	0.38370
0.05920	0.41230
0.07000	0.93760
0.01140	0.43440
0.10130	0.60860
0.08550	0.93020
0.04290	0.60430
0.35190	1.06190
0.02620	0.60580
0.07380	0.58000
0.01240	0.55380
0.04090	0.54210
0.01510	0.59230
0.15940	0.66730
0.23230	0.55960
0.00240	0.57420
0.02280	0.47000
0.11060	0.53330
0.05550	0.42450
0.01400	0.46410
0.00220	0.08760
0.03390	0.46580
0.01810	0.38190
0.00890	0.30560
0.03710	0.47480
0.00850	0.59830
0.02140	0.81360
0.00660	0.42980
0.07890	0.51500
0.06270	1.33290
0.01760	0.32880
0.00620	0.82640
0.01380	0.50880
0.01500	1.41690
0.01010	0.47210
0.02360	0.64490
0.00870	0.39240
0.05960	0.62490
0.02180	0.44290
0.22430	0.63350
0.07020	0.72740
0.03850	0.71320
0.01190	0.58480
0.03470	0.42130
0.02660	0.48940
0.00460	0.35420
0.01890	0.51300
0.00810	0.23880
0.05550	0.66260
0.01980	0.53240
0.02370	0.68210
0.01580	0.59510
0.01660	0.46420
0.03020	0.40860
0.52870	1.05810
0.03190	0.55240
0.00170	0.40370
0.03910	0.54360
0.03940	0.95320
0.01260	0.35730
0.02010	0.41090
0.06180	0.70070
0.00510	0.41790
0.05480	0.73270
0.18690	0.92280
0.09370	0.59510
0.02400	0.49280
0.20000	0.99830
0.04700	0.53690
0.01830	0.48370
0.11850	1.01810
0.29170	0.64760
0.04010	0.77370
0.10420	0.55450
0.07800	0.80080
0.16470	1.51830
0.08020	1.09570
0.30110	2.91060
0.02590	0.66080
0.04750	0.45460
0.24200	0.56910
0.04460	0.44960
0.03310	0.48220
0.01700	0.73980
0.00850	0.61740
0.00750	0.51480
0.06620	0.44200
0.01430	0.40600
0.22350	0.54780
0.08120	0.64580
0.10640	0.60560
0.03020	0.45780
0.01430	0.33760
0.03390	0.94900
0.06620	0.49450
0.06380	0.56080
0.06360	0.50360
0.17500	0.57690
0.03750	0.45390
0.27540	0.70500
0.20450	0.99580
0.08310	0.80620
0.07160	0.61690
0.00900	0.36690
0.02950	0.56150
0.19810	1.13350
0.03400	0.73300
0.00270	0.28940
0.04000	0.56970
0.16470	0.92470
0.25790	0.79370
0.01100	0.31570
0.11340	0.68130
0.02800	0.70460
0.27880	0.91370
0.03680	1.33030
0.03190	0.72840
0.06960	1.58030
0.25720	0.73980
0.06990	0.57490
0.25110	0.68980
0.01280	0.30120
0.01830	0.84740
0.01750	0.64940
0.03430	1.47880
0.01870	0.85750
0.00200	0.53120
0.01270	0.40540
0.09930	0.72040
0.24500	0.87650
0.03410	0.61530
0.38070	0.69270
0.06350	0.98190
0.21830	0.62950
0.00350	0.42780
0.03080	0.45390
0.01700	0.48600
0.08040	0.70700
0.13760	0.47590
0.02600	0.77670
0.02090	0.41400
0.00440	0.60380
0.00000	0.42900
0.04600	0.56610
0.14000	0.63700
0.00270	0.48550
0.03560	0.28260
0.06330	0.36410
0.02120	0.35980
0.09950	0.93960
0.02050	0.71200
0.09230	0.38530
0.00790	0.85620
0.05180	0.70570
0.04570	1.10390
0.01840	0.58660
0.19830	0.73470
0.01110	0.21170
0.32520	0.72170
0.24150	0.58380
0.16550	0.50230
0.00700	0.52230
0.00250	0.41330
0.00230	0.63160
0.10980	1.16840
0.13370	0.66720
0.07540	0.64450
0.05190	1.42230
0.01560	0.46840
0.01380	0.59770
0.01520	0.51290
0.30330	0.75690
0.01100	0.33520
	
0.26800	0.85290
0.05290	0.89540
0.08510	0.53300
0.56450	1.98930
0.03370	0.46680
0.01570	1.06630
	
	
0.11870	0.74150
0.04980	0.51990
0.08820	0.44570
0.09020	0.64990
0.07290	1.00290
0.55470	2.05060
0.78090	10.09050
1.01510	3.48060
0.60100	1.49800
0.80240	5.22110
0.64940	2.90240
0.77310	10.52000
0.78240	10.25300
0.75550	2.88210
0.74160	13.85360
0.17710	1.01480
0.11940	0.82080
0.02230	0.80290
0.02710	0.84150
0.02930	0.42620
0.12830	1.03660
0.29380	1.24620
0.01480	0.45140
0.20710	0.58010
0.06060	0.64050
0.04360	0.68080
0.08540	1.09180
