dN	dS
0.21020	0.40730
0.05080	0.64520
0.01730	0.78190
0.03700	0.59260
0.01970	1.28680
0.01970	1.32650
0.00260	0.40570
0.00160	0.31860
0.01620	0.36960
0.00910	0.52600
0.08250	0.54060
0.15000	0.86480
0.12100	0.57580
0.00740	0.42470
0.05650	0.74570
0.14360	0.79250
0.00980	0.71110
0.01890	0.55300
0.44980	0.70390
0.49410	0.65520
0.51440	0.64720
0.47330	0.73710
0.50310	0.84430
0.53760	0.62400
0.41390	0.81740
0.52070	0.75380
0.46800	0.74770
0.48940	0.74010
0.47400	0.84530
0.18470	0.49170
0.01820	1.18260
0.20750	0.47830
0.20610	0.76970
0.85400	65.61290
0.84320	65.83890
0.03600	0.47720
0.15640	0.79470
0.03150	0.35850
0.87240	1.01330
0.67280	0.45130
0.86730	0.99190
0.83330	1.37660
0.80760	1.34400
0.74830	1.42220
0.83180	1.29620
0.69680	0.94430
0.75970	1.01900
0.85280	1.19290
0.84980	1.30410
0.85210	1.21360
0.82750	1.19530
0.82530	1.44050
0.00000	0.26810
0.00110	1.08100
0.01250	1.53380
0.07210	0.29480
0.17010	0.32570
0.03960	0.59900
0.18200	0.60110
0.16510	0.51230
0.00140	0.73600
0.09870	0.64610
0.11930	0.51470
0.00000	0.47510
0.03530	1.14530
0.00880	0.33560
0.08750	0.96520
0.29560	58.25350
0.01020	0.77390
0.17150	0.69080
0.21090	0.69960
0.15320	0.76340
0.18430	0.72320
0.16730	0.75710
0.22500	0.70020
0.18060	0.70620
0.20900	0.63250
0.18460	0.57380
0.03480	0.33870
0.06140	0.50520
0.03880	0.34960
0.01050	0.48770
0.06420	0.57350
0.07580	0.88970
0.24460	0.73520
0.03990	0.62600
0.28750	0.50470
0.01720	0.39310
0.01900	0.51440
0.19530	1.00760
0.16280	0.50510
0.13730	1.13490
0.08270	0.73260
0.07880	0.74060
0.13560	0.58660
0.21120	0.90220
0.07860	0.51460
0.12220	0.70710
0.07460	0.52230
0.17710	0.80150
0.12260	0.62750
0.03450	0.51400
0.04970	0.30590
0.03910	0.76140
0.00580	0.64010
0.02250	0.48420
0.05030	0.90340
0.16290	0.48330
0.10650	0.88290
0.06050	0.47890
0.21710	0.73890
	
0.11870	0.77610
0.01870	0.61410
0.04240	1.41950
0.04530	0.62870
0.05320	0.42190
0.04180	0.73650
0.12410	0.48680
0.01970	0.68840
0.02780	1.02770
0.00320	0.31910
0.04170	0.50150
0.25230	0.69680
0.04400	0.45980
0.12270	0.71580
0.09630	0.57950
0.08370	0.50550
0.02540	0.55000
0.01550	0.47900
0.04840	1.18380
0.24920	0.88570
0.25670	0.54390
	
0.06350	0.62180
0.15090	0.73790
0.13140	0.95280
	
	
	
	
	
	
	
	
	
	
	
	
	
	
0.02920	0.98140
0.03210	0.62150
0.13390	0.89950
0.10200	0.76860
0.09990	0.66180
0.03690	0.38670
0.02130	0.71760
0.11070	0.54940
0.07540	0.86650
0.15730	0.50300
	
	
	
0.02600	0.54450
	
0.10420	0.55450
0.07820	0.38950
0.01820	0.80820
0.29600	0.68240
	
	
0.19660	0.96410
0.02550	0.35330
	
0.05500	0.51150
0.43360	0.92250
0.24900	0.92090
0.07700	0.82630
0.08500	0.49430
0.01510	0.36000
	
	
	
	
	
0.14160	1.07460
	
	
0.05030	0.78200
0.09740	0.78690
0.16330	0.91540
0.12120	0.52260
0.02680	0.39960
	
0.02040	0.45120
0.01940	0.43860
0.01580	0.28900
0.03210	0.56820
	
	
	
	
	
0.08370	0.54760
0.26620	0.40650
	
	
	
	
0.07910	0.56850
0.03150	0.39810
0.11110	0.51830
	
0.13570	0.50600
0.03390	0.55090
0.05280	0.60520
	
	
	
0.00040	0.43040
	
	
0.07480	1.25260
0.04400	0.40180
0.01640	0.47410
	
0.00650	0.65090
0.02350	0.47530
0.24420	0.73390
	
	
0.08460	1.10970
	
0.02080	0.98610
	
0.35350	0.56950
0.33710	0.67000
0.36620	0.54460
0.34410	0.47500
0.35610	0.61500
0.04700	0.51840
0.09710	1.59210
0.04330	0.41190
	
0.24520	0.61930
0.27410	0.72270
0.26800	0.69800
0.26960	0.70220
0.25530	0.64040
0.25180	0.70090
0.19000	0.56470
0.27200	0.71570
0.08400	0.55310
0.01740	0.26270
0.01560	0.32640
0.03690	0.54700
	
	
	
	
	
	
	
0.05870	0.74130
	
0.10090	0.60170
0.10620	0.49240
0.03570	0.42420
0.44320	1.23700
0.43400	1.54360
0.06130	0.52240
0.09210	0.57160
0.11780	0.94000
0.01720	0.40340
0.07820	0.51540
	
0.00820	0.43160
	
0.02990	0.79930
0.00790	0.85620
0.61950	1.60170
0.00740	0.39820
0.16090	0.83730
0.06880	1.08830
0.30110	2.91060
0.00690	0.33050
	
0.00000	0.18420
0.11460	0.77000
	
	
	
	
	
	
	
	
	
	
0.07900	0.55660
	
0.05610	0.60570
0.48670	1.55200
0.12170	0.55300
0.04870	1.15720
0.09180	0.70040
0.04510	0.47360
0.12210	0.55370
0.17390	0.48850
	
0.02640	0.87030
0.24050	0.91110
0.16200	0.88070
0.28810	0.87870
0.22850	0.76350
0.17740	0.82310
0.28880	0.94810
	
0.12740	0.55300
	
	
	
	
	
	
	
0.20640	0.64010
0.12410	1.35610
0.11190	0.68150
	
0.01310	0.64040
0.08000	0.74830
0.40200	0.64890
0.10520	0.38430
	
0.25880	0.48820
	
	
0.08050	0.74370
	
0.13440	0.67250
0.03620	0.81540
0.03660	0.85700
0.01500	0.24430
0.07450	0.52860
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
0.15450	0.52050
	
0.12640	0.60090
0.28210	0.74500
	
	
0.02740	0.35650
0.03360	0.48070
