dN	dS
0.05360	0.48810
0.05360	0.48810
0.11780	0.52360
0.10500	0.70700
0.02880	0.53310
0.00140	0.40150
0.17860	0.54700
0.03200	0.43390
0.02770	0.42930
0.12430	0.47990
0.04990	0.51260
0.10360	1.73210
0.01900	0.71500
0.09370	0.64500
0.38980	0.73600
0.03910	0.46810
0.22860	0.57410
0.19900	0.77950
0.09210	0.47730
0.00920	0.35140
0.00000	0.32940
0.02580	0.40990
0.03860	0.94080
0.02570	0.58230
0.05250	0.53550
0.00860	0.43940
0.07940	0.37970
0.03170	0.48350
0.08400	0.98390
0.05820	1.14090
0.04280	0.55140
0.07290	0.42220
0.04020	0.62640
0.02280	0.44700
0.01320	0.30580
0.08250	0.54060
0.01550	0.64500
0.00500	0.89600
0.00810	0.30480
0.06850	0.41920
0.12050	0.83360
0.09980	0.55290
0.11760	1.21510
0.05000	0.14520
0.04890	0.45730
0.07020	0.50320
0.24110	1.24420
0.02070	0.41760
0.06160	0.50540
0.05090	0.39350
0.05730	0.64890
0.07370	0.57090
0.01280	0.48350
0.01400	0.51630
0.01010	0.64200
0.27380	0.51340
0.06830	0.46870
0.16780	0.75330
0.03440	0.67240
0.08270	0.59590
0.00050	0.32890
0.08060	0.84020
0.00220	0.38530
0.04190	0.47110
0.02620	0.38850
0.11620	0.66230
0.00790	0.61460
0.01220	0.44620
0.09520	0.65580
0.03910	0.35890
0.01100	0.52330
0.04230	1.49030
0.00110	0.21660
0.02920	0.38480
0.07750	0.85140
0.08600	1.21380
0.01470	0.41490
0.12870	0.77200
0.17810	1.71960
0.01540	0.59560
0.01990	0.65630
0.03840	0.67840
0.03370	0.37740
0.01880	0.96080
0.03740	0.90060
0.00420	0.99700
0.11140	0.47750
0.07470	0.88080
0.01610	0.41040
0.07330	0.79040
0.08840	1.13160
0.01730	0.48180
0.01670	0.31240
0.08760	1.28680
0.13000	1.06210
0.02690	0.62930
0.02140	0.59890
0.02900	0.35960
0.02680	0.65220
0.00680	0.23750
0.03710	0.53700
0.01160	0.45410
0.03930	0.53830
0.04240	0.56740
0.02260	0.26350
0.05670	0.49230
0.00460	0.26650
0.06590	0.53420
0.02250	0.40730
0.06060	0.75330
0.07300	0.45990
0.02380	0.71990
0.06000	0.79350
0.10590	0.71920
0.07620	0.95070
0.08130	0.57970
0.03210	0.29550
0.00260	0.31150
0.06270	0.54910
0.09570	0.66130
0.00610	0.28880
0.01460	0.50600
0.15960	1.63900
0.05460	0.54590
0.03320	0.55350
0.04730	0.52670
0.01010	0.31680
0.10160	0.40650
0.06260	0.46000
0.07870	0.44960
0.01220	1.24510
0.07270	0.53900
0.04750	0.34890
0.07250	0.65560
0.01300	0.37850
0.01030	0.61310
0.17430	1.21210
0.19510	0.57360
0.10520	0.85290
0.01220	0.70980
0.03270	0.73310
0.05610	0.45680
0.07210	0.51000
0.01950	0.51720
0.00220	0.48600
0.13950	0.92400
0.05890	0.59260
0.04500	0.69600
0.07030	0.83000
0.05480	0.50650
0.04950	0.32680
0.04490	0.46170
0.20740	0.93510
0.15820	0.81100
0.07150	0.71160
0.09540	0.69760
0.18440	0.68680
0.18320	0.69220
0.05170	0.88310
0.02020	0.39520
0.05610	0.46920
0.07810	0.43570
0.05630	0.41410
0.00970	0.60200
0.26230	0.72430
0.00710	0.25320
0.00000	0.28760
0.03200	0.50940
0.06770	0.63370
0.04560	0.36010
0.01530	0.40340
0.03780	0.52800
0.03420	0.52520
0.04230	0.33220
0.05690	0.51530
0.09080	0.49890
0.11940	0.75440
0.00320	0.32180
0.00910	0.45140
0.17380	0.70260
0.14140	0.71030
0.11000	0.68750
0.03980	0.40440
0.07220	1.14640
0.02710	0.62040
0.02070	0.15760
0.06010	0.76330
0.03700	0.26930
0.43480	0.73310
0.03610	0.44560
0.15020	0.98730
0.02800	0.36150
0.05310	0.43090
0.03260	0.43990
0.04170	0.50150
0.13430	0.71100
0.03990	0.65010
0.01050	0.48770
0.04950	0.48590
0.01990	0.31290
0.05580	0.68030
0.03470	0.73000
0.02460	0.52470
0.02400	0.38020
0.05520	0.45180
0.05250	0.57500
0.11770	1.07640
0.11460	0.79520
0.10860	0.78650
0.05850	0.36080
0.01700	0.38990
0.00360	0.35520
0.01110	0.46810
0.21690	0.77620
0.21690	0.77620
0.39730	0.70750
0.03730	0.68010
0.25270	0.66300
0.03990	0.88390
0.03680	0.47070
0.01670	0.35960
0.03480	0.33870
0.01980	0.41410
0.03890	0.44410
0.13070	0.77720
0.15180	0.79580
0.05070	0.42140
0.02070	0.44270
0.11050	1.05950
0.03210	0.73630
0.02310	0.85100
0.12880	0.60680
0.13830	0.61290
0.00520	0.40480
0.02290	0.41270
0.05520	0.45000
0.03730	0.46770
0.01870	0.56280
0.01020	0.39770
0.01610	0.60480
0.00000	0.45330
0.03160	0.50360
0.00000	0.42870
0.03920	0.63340
0.06650	0.56630
0.04360	0.53230
0.00310	0.37230
