Ensembl Gene ID	Gene Biotype
ENSG00000000419	protein_coding
ENSG00000000457	protein_coding
ENSG00000001036	protein_coding
ENSG00000001084	protein_coding
ENSG00000001167	protein_coding
ENSG00000001497	protein_coding
ENSG00000001629	protein_coding
ENSG00000001631	protein_coding
ENSG00000002330	protein_coding
ENSG00000002549	protein_coding
ENSG00000002586	protein_coding
ENSG00000002822	protein_coding
ENSG00000002834	protein_coding
ENSG00000002919	protein_coding
ENSG00000002933	protein_coding
ENSG00000003056	protein_coding
ENSG00000003402	protein_coding
ENSG00000003509	protein_coding
ENSG00000003756	protein_coding
ENSG00000004059	protein_coding
ENSG00000004142	protein_coding
ENSG00000004399	protein_coding
ENSG00000004455	protein_coding
ENSG00000004478	protein_coding
ENSG00000004487	protein_coding
ENSG00000004534	protein_coding
ENSG00000004660	protein_coding
ENSG00000004700	protein_coding
ENSG00000004776	protein_coding
ENSG00000004777	protein_coding
ENSG00000004779	protein_coding
ENSG00000004799	protein_coding
ENSG00000004864	protein_coding
ENSG00000004897	protein_coding
ENSG00000004961	protein_coding
ENSG00000004975	protein_coding
ENSG00000005007	protein_coding
ENSG00000005022	protein_coding
ENSG00000005075	protein_coding
ENSG00000005156	protein_coding
ENSG00000005175	protein_coding
ENSG00000005194	protein_coding
ENSG00000005206	protein_coding
ENSG00000005238	protein_coding
ENSG00000005243	protein_coding
ENSG00000005302	protein_coding
ENSG00000005339	protein_coding
ENSG00000005448	protein_coding
ENSG00000005483	protein_coding
ENSG00000005486	protein_coding
ENSG00000005700	protein_coding
ENSG00000005810	protein_coding
ENSG00000005812	protein_coding
ENSG00000005882	protein_coding
ENSG00000005893	protein_coding
ENSG00000006007	protein_coding
ENSG00000006015	protein_coding
ENSG00000006025	protein_coding
ENSG00000006062	protein_coding
ENSG00000006125	protein_coding
ENSG00000006282	protein_coding
ENSG00000006451	protein_coding
ENSG00000006530	protein_coding
ENSG00000006652	protein_coding
ENSG00000006695	protein_coding
ENSG00000006712	protein_coding
ENSG00000006715	protein_coding
ENSG00000006744	protein_coding
ENSG00000006831	protein_coding
ENSG00000007047	protein_coding
ENSG00000007080	protein_coding
ENSG00000007168	protein_coding
ENSG00000007202	protein_coding
ENSG00000007255	protein_coding
ENSG00000007376	protein_coding
ENSG00000007392	protein_coding
ENSG00000007520	protein_coding
ENSG00000007541	protein_coding
ENSG00000007923	protein_coding
ENSG00000007944	protein_coding
ENSG00000008018	protein_coding
ENSG00000008083	protein_coding
ENSG00000008128	protein_coding
ENSG00000008130	protein_coding
ENSG00000008256	protein_coding
ENSG00000008282	protein_coding
ENSG00000008283	protein_coding
ENSG00000008294	protein_coding
ENSG00000008324	protein_coding
ENSG00000008382	protein_coding
ENSG00000008405	protein_coding
ENSG00000008441	protein_coding
ENSG00000008513	protein_coding
ENSG00000008517	protein_coding
ENSG00000008710	protein_coding
ENSG00000008838	protein_coding
ENSG00000008869	protein_coding
ENSG00000008952	protein_coding
ENSG00000008988	protein_coding
ENSG00000009307	protein_coding
ENSG00000009335	protein_coding
ENSG00000009780	protein_coding
ENSG00000009844	protein_coding
ENSG00000009954	protein_coding
ENSG00000010017	protein_coding
ENSG00000010165	protein_coding
ENSG00000010244	protein_coding
ENSG00000010256	protein_coding
ENSG00000010270	protein_coding
ENSG00000010278	protein_coding
ENSG00000010292	protein_coding
ENSG00000010295	protein_coding
ENSG00000010322	protein_coding
ENSG00000010327	protein_coding
ENSG00000010361	protein_coding
ENSG00000010404	protein_coding
ENSG00000010803	protein_coding
ENSG00000010810	protein_coding
ENSG00000010818	protein_coding
ENSG00000011007	protein_coding
ENSG00000011009	protein_coding
ENSG00000011021	protein_coding
ENSG00000011132	protein_coding
ENSG00000011143	protein_coding
ENSG00000011198	protein_coding
ENSG00000011243	protein_coding
ENSG00000011258	protein_coding
ENSG00000011260	protein_coding
ENSG00000011275	protein_coding
ENSG00000011295	protein_coding
ENSG00000011304	protein_coding
ENSG00000011376	protein_coding
ENSG00000011405	protein_coding
ENSG00000011451	protein_coding
ENSG00000011454	protein_coding
ENSG00000011485	protein_coding
ENSG00000011600	protein_coding
ENSG00000011638	protein_coding
ENSG00000012061	protein_coding
ENSG00000012232	protein_coding
ENSG00000012660	protein_coding
ENSG00000012822	protein_coding
ENSG00000012963	protein_coding
ENSG00000012983	protein_coding
ENSG00000013275	protein_coding
ENSG00000013288	protein_coding
ENSG00000013306	protein_coding
ENSG00000013364	protein_coding
ENSG00000013374	protein_coding
ENSG00000013441	protein_coding
ENSG00000013523	protein_coding
ENSG00000013561	protein_coding
ENSG00000013563	protein_coding
ENSG00000013573	protein_coding
ENSG00000013583	protein_coding
ENSG00000014138	protein_coding
ENSG00000014164	protein_coding
ENSG00000014216	protein_coding
ENSG00000014641	protein_coding
ENSG00000014824	protein_coding
ENSG00000014914	protein_coding
ENSG00000014919	protein_coding
ENSG00000015171	protein_coding
ENSG00000015475	protein_coding
ENSG00000015479	protein_coding
ENSG00000015532	protein_coding
ENSG00000015676	protein_coding
ENSG00000016864	protein_coding
ENSG00000017260	protein_coding
ENSG00000017797	protein_coding
ENSG00000018189	protein_coding
ENSG00000018510	protein_coding
ENSG00000018610	protein_coding
ENSG00000018699	protein_coding
ENSG00000019582	protein_coding
ENSG00000019995	protein_coding
ENSG00000020129	protein_coding
ENSG00000021355	protein_coding
ENSG00000021574	protein_coding
ENSG00000021762	protein_coding
ENSG00000021776	protein_coding
ENSG00000022267	protein_coding
ENSG00000022277	protein_coding
ENSG00000022840	protein_coding
ENSG00000022976	protein_coding
ENSG00000023041	protein_coding
ENSG00000023191	protein_coding
ENSG00000023228	protein_coding
ENSG00000023287	protein_coding
ENSG00000023318	protein_coding
ENSG00000023330	protein_coding
ENSG00000023608	protein_coding
ENSG00000023697	protein_coding
ENSG00000023734	protein_coding
ENSG00000023902	protein_coding
ENSG00000023909	protein_coding
ENSG00000024048	protein_coding
ENSG00000024862	protein_coding
ENSG00000025039	protein_coding
ENSG00000025156	protein_coding
ENSG00000025293	protein_coding
ENSG00000025434	protein_coding
ENSG00000025708	protein_coding
ENSG00000025770	protein_coding
ENSG00000025772	protein_coding
ENSG00000025796	protein_coding
ENSG00000025800	protein_coding
ENSG00000026025	protein_coding
ENSG00000026297	protein_coding
ENSG00000026950	protein_coding
ENSG00000027697	protein_coding
ENSG00000027847	protein_coding
ENSG00000028137	protein_coding
ENSG00000028310	protein_coding
ENSG00000028528	protein_coding
ENSG00000029363	protein_coding
ENSG00000029364	protein_coding
ENSG00000029725	protein_coding
ENSG00000030066	protein_coding
ENSG00000030110	protein_coding
ENSG00000030582	protein_coding
ENSG00000031003	protein_coding
ENSG00000031698	protein_coding
ENSG00000031823	protein_coding
ENSG00000032389	protein_coding
ENSG00000032444	protein_coding
ENSG00000033011	protein_coding
ENSG00000033030	protein_coding
ENSG00000033050	protein_coding
ENSG00000033100	protein_coding
ENSG00000033178	protein_coding
ENSG00000033327	protein_coding
ENSG00000033627	protein_coding
ENSG00000033800	protein_coding
ENSG00000034152	protein_coding
ENSG00000034510	protein_coding
ENSG00000034677	protein_coding
ENSG00000034713	protein_coding
ENSG00000035115	protein_coding
ENSG00000035141	protein_coding
ENSG00000035403	protein_coding
ENSG00000035681	protein_coding
ENSG00000035687	protein_coding
ENSG00000035862	protein_coding
ENSG00000035928	protein_coding
ENSG00000036054	protein_coding
ENSG00000036257	protein_coding
ENSG00000037042	protein_coding
ENSG00000037474	protein_coding
ENSG00000037637	protein_coding
ENSG00000037757	protein_coding
ENSG00000038002	protein_coding
ENSG00000038219	protein_coding
ENSG00000038274	protein_coding
ENSG00000038358	protein_coding
ENSG00000038532	protein_coding
ENSG00000039123	protein_coding
ENSG00000039319	protein_coding
ENSG00000039523	protein_coding
ENSG00000039650	protein_coding
ENSG00000040487	protein_coding
ENSG00000040531	protein_coding
ENSG00000040633	protein_coding
ENSG00000040933	protein_coding
ENSG00000041357	protein_coding
ENSG00000041802	protein_coding
ENSG00000041880	protein_coding
ENSG00000041988	protein_coding
ENSG00000042429	protein_coding
ENSG00000042445	protein_coding
ENSG00000042753	protein_coding
ENSG00000043093	protein_coding
ENSG00000043143	protein_coding
ENSG00000044090	protein_coding
ENSG00000044115	protein_coding
ENSG00000044446	protein_coding
ENSG00000044574	protein_coding
ENSG00000046647	protein_coding
ENSG00000046651	protein_coding
ENSG00000047056	protein_coding
ENSG00000047188	protein_coding
ENSG00000047249	protein_coding
ENSG00000047315	protein_coding
ENSG00000047346	protein_coding
ENSG00000047410	protein_coding
ENSG00000047578	protein_coding
ENSG00000047579	protein_coding
ENSG00000047644	protein_coding
ENSG00000047849	protein_coding
ENSG00000048028	protein_coding
ENSG00000048140	protein_coding
ENSG00000048162	protein_coding
ENSG00000048392	protein_coding
ENSG00000048405	protein_coding
ENSG00000048471	protein_coding
ENSG00000048544	protein_coding
ENSG00000048707	protein_coding
ENSG00000048828	protein_coding
ENSG00000048991	protein_coding
ENSG00000049239	protein_coding
ENSG00000049245	protein_coding
ENSG00000049541	protein_coding
ENSG00000049618	protein_coding
ENSG00000049656	protein_coding
ENSG00000049860	protein_coding
ENSG00000050130	protein_coding
ENSG00000050393	protein_coding
ENSG00000050426	protein_coding
ENSG00000050748	protein_coding
ENSG00000051009	protein_coding
ENSG00000051108	protein_coding
ENSG00000051128	protein_coding
ENSG00000051382	protein_coding
ENSG00000051523	protein_coding
ENSG00000051620	protein_coding
ENSG00000052749	protein_coding
ENSG00000052802	protein_coding
ENSG00000052841	protein_coding
ENSG00000053254	protein_coding
ENSG00000053371	protein_coding
ENSG00000053372	protein_coding
ENSG00000053501	protein_coding
ENSG00000053770	protein_coding
ENSG00000053900	protein_coding
ENSG00000054116	protein_coding
ENSG00000054118	protein_coding
ENSG00000054148	protein_coding
ENSG00000054267	protein_coding
ENSG00000054523	protein_coding
ENSG00000054611	protein_coding
ENSG00000054654	protein_coding
ENSG00000054965	protein_coding
