Ensembl Gene ID	Gene Biotype
ENSG00000002745	protein_coding
ENSG00000003987	protein_coding
ENSG00000006116	protein_coding
ENSG00000006283	protein_coding
ENSG00000007001	protein_coding
ENSG00000007171	protein_coding
ENSG00000007372	protein_coding
ENSG00000011083	protein_coding
ENSG00000011677	protein_coding
ENSG00000015592	protein_coding
ENSG00000016602	protein_coding
ENSG00000022355	protein_coding
ENSG00000054803	protein_coding
ENSG00000058335	protein_coding
ENSG00000060140	protein_coding
ENSG00000063015	protein_coding
ENSG00000072041	protein_coding
ENSG00000074317	protein_coding
ENSG00000082556	protein_coding
ENSG00000084453	protein_coding
ENSG00000090932	protein_coding
ENSG00000099866	protein_coding
ENSG00000099937	protein_coding
ENSG00000100095	protein_coding
ENSG00000100218	protein_coding
ENSG00000100249	protein_coding
ENSG00000100678	protein_coding
ENSG00000101203	protein_coding
ENSG00000101327	protein_coding
ENSG00000101438	protein_coding
ENSG00000101850	protein_coding
ENSG00000102385	protein_coding
ENSG00000102466	protein_coding
ENSG00000102468	protein_coding
ENSG00000103494	protein_coding
ENSG00000105251	protein_coding
ENSG00000105376	protein_coding
ENSG00000105605	protein_coding
ENSG00000105641	protein_coding
ENSG00000105963	protein_coding
ENSG00000106633	protein_coding
ENSG00000107593	protein_coding
ENSG00000108684	protein_coding
ENSG00000109047	protein_coding
ENSG00000109158	protein_coding
ENSG00000110427	protein_coding
ENSG00000111262	protein_coding
ENSG00000112232	protein_coding
ENSG00000112309	protein_coding
ENSG00000112333	protein_coding
ENSG00000113100	protein_coding
ENSG00000113327	protein_coding
ENSG00000113763	protein_coding
ENSG00000115266	protein_coding
ENSG00000116147	protein_coding
ENSG00000117598	protein_coding
ENSG00000118733	protein_coding
ENSG00000118997	protein_coding
ENSG00000119125	protein_coding
ENSG00000121904	protein_coding
ENSG00000123119	protein_coding
ENSG00000123454	protein_coding
ENSG00000123901	protein_coding
ENSG00000124134	protein_coding
ENSG00000124140	protein_coding
ENSG00000124493	protein_coding
ENSG00000126733	protein_coding
ENSG00000127588	protein_coding
ENSG00000128253	protein_coding
ENSG00000128285	protein_coding
ENSG00000130032	protein_coding
ENSG00000130055	protein_coding
ENSG00000130287	protein_coding
ENSG00000130751	protein_coding
ENSG00000130829	protein_coding
ENSG00000131044	protein_coding
ENSG00000131969	protein_coding
ENSG00000132026	protein_coding
ENSG00000132164	protein_coding
ENSG00000132832	antisense
ENSG00000132872	protein_coding
ENSG00000132975	protein_coding
ENSG00000133101	protein_coding
ENSG00000134376	protein_coding
ENSG00000135638	protein_coding
ENSG00000136099	protein_coding
ENSG00000136267	protein_coding
ENSG00000136367	protein_coding
ENSG00000136531	protein_coding
