Ensembl Gene ID	RefSeq ncRNA [e.g. NR_002834]	RefSeq ncRNA predicted [e.g. XR_108264]	Transcript Start (bp)	Transcript End (bp)
ENSG00000000419			50934867	50958550
ENSG00000000419		XR_244156	50934867	50958550
ENSG00000000419			50934867	50958555
ENSG00000000419			50934896	50945861
ENSG00000000419			50934945	50958521
ENSG00000000419			50936148	50958532
ENSG00000000457			169849631	169893952
ENSG00000000457			169853074	169888888
ENSG00000000457			169854511	169894267
ENSG00000000457			169859119	169893952
ENSG00000000457			169853074	169893959
ENSG00000001036			143494811	143511690
ENSG00000001036			143496952	143502122
ENSG00000001036			143501945	143511690
ENSG00000001084			53497341	53510448
ENSG00000001084			53497341	53545129
ENSG00000001084		XR_431614	53498142	53501350
ENSG00000001084		XR_427391	53498142	53501350
ENSG00000001084			53498772	53505664
ENSG00000001084			53500200	53507078
ENSG00000001084			53505261	53505895
ENSG00000001084			53508597	53545088
ENSG00000001084			53512989	53545033
ENSG00000001084			53514207	53522779
ENSG00000001084			53514287	53544608
ENSG00000001084			53514335	53523324
ENSG00000001084			53522465	53616970
ENSG00000001084			53497346	53545129
ENSG00000001167			41072945	41099976
ENSG00000001167			41072983	41097950
ENSG00000001497			65512582	65534754
ENSG00000001497			65512582	65534756
ENSG00000001497			65512583	65534756
ENSG00000001497			65512583	65534775
ENSG00000001497			65520429	65523617
ENSG00000001629			92246234	92401384
ENSG00000001629			92294462	92307572
ENSG00000001629			92307359	92343117
ENSG00000001629			92319422	92319966
ENSG00000001629			92343138	92362260
ENSG00000001629			92371572	92399348
ENSG00000001629			92395869	92397837
ENSG00000001631			92199413	92241119
ENSG00000001631			92199413	92246100
ENSG00000001631			92200178	92235773
ENSG00000001631			92200358	92245795
ENSG00000001631			92200358	92245923
ENSG00000001631			92200373	92245914
ENSG00000001631			92200454	92201555
ENSG00000001631			92225766	92235615
ENSG00000001631			92235403	92246059
ENSG00000001631			92235579	92245920
ENSG00000001631			92236411	92245914
