dS	dN	dN/dS	Mouse	Ensembl
0.48810	0.05360	9.10634	ENSMUSG00000078919	ENSG00000000419
0.48810	0.05360	9.10634	ENSMUSG00000093752	ENSG00000000419
0.52360	0.11780	4.44482	ENSMUSG00000026584	ENSG00000000457
0.70700	0.10500	6.73333	ENSMUSG00000019810	ENSG00000001036
0.53310	0.02880	18.5104	ENSMUSG00000032350	ENSG00000001084
0.40150	0.00140	286.786	ENSMUSG00000023994	ENSG00000001167
0.54700	0.17860	3.06271	ENSMUSG00000057421	ENSG00000001497
0.43390	0.03200	13.5594	ENSMUSG00000040351	ENSG00000001629
0.42930	0.02770	15.4982	ENSMUSG00000000600	ENSG00000001631
0.47990	0.12430	3.86082	ENSMUSG00000024959	ENSG00000002330
0.51260	0.04990	10.2725	ENSMUSG00000039682	ENSG00000002549
1.73210	0.10360	16.7191	ENSMUSG00000029554	ENSG00000002822
0.71500	0.01900	37.6316	ENSMUSG00000038366	ENSG00000002834
0.64500	0.09370	6.88367	ENSMUSG00000020876	ENSG00000002919
0.73600	0.38980	1.88815	ENSMUSG00000023367	ENSG00000002933
0.46810	0.03910	11.9719	ENSMUSG00000007458	ENSG00000003056
0.57410	0.22860	2.51137	ENSMUSG00000026031	ENSG00000003402
0.77950	0.19900	3.91709	ENSMUSG00000050533	ENSG00000003402
0.47730	0.09210	5.18241	ENSMUSG00000024082	ENSG00000003509
0.35140	0.00920	38.1957	ENSMUSG00000032580	ENSG00000003756
0.32940	0.00000	inf	ENSMUSG00000020440	ENSG00000004059
0.40990	0.02580	15.8876	ENSMUSG00000001100	ENSG00000004142
0.94080	0.03860	24.3731	ENSMUSG00000030123	ENSG00000004399
0.58230	0.02570	22.6576	ENSMUSG00000028792	ENSG00000004455
0.53550	0.05250	10.2	ENSMUSG00000030357	ENSG00000004478
0.43940	0.00860	51.093	ENSMUSG00000036940	ENSG00000004487
0.37970	0.07940	4.78212	ENSMUSG00000032582	ENSG00000004534
0.48350	0.03170	15.2524	ENSMUSG00000020785	ENSG00000004660
0.98390	0.08400	11.7131	ENSMUSG00000030243	ENSG00000004700
1.14090	0.05820	19.6031	ENSMUSG00000036854	ENSG00000004776
0.55140	0.04280	12.8832	ENSMUSG00000036882	ENSG00000004777
0.42220	0.07290	5.7915	ENSMUSG00000030869	ENSG00000004779
0.62640	0.04020	15.5821	ENSMUSG00000019577	ENSG00000004799
0.44700	0.02280	19.6053	ENSMUSG00000015112	ENSG00000004864
0.30580	0.01320	23.1667	ENSMUSG00000020687	ENSG00000004897
0.54060	0.08250	6.55273	ENSMUSG00000031352	ENSG00000004961
0.64500	0.01550	41.6129	ENSMUSG00000020888	ENSG00000004975
0.89600	0.00500	179.2	ENSMUSG00000058301	ENSG00000005007
0.30480	0.00810	37.6296	ENSMUSG00000016319	ENSG00000005022
0.41920	0.06850	6.11971	ENSMUSG00000020697	ENSG00000005156
0.83360	0.12050	6.91784	ENSMUSG00000022466	ENSG00000005175
0.55290	0.09980	5.54008	ENSMUSG00000031781	ENSG00000005194
1.21510	0.11760	10.3325	ENSMUSG00000035206	ENSG00000005206
0.14520	0.05000	2.904	ENSMUSG00000036002	ENSG00000005238
0.45730	0.04890	9.35174	ENSMUSG00000018672	ENSG00000005243
0.50320	0.07020	7.16809	ENSMUSG00000031358	ENSG00000005302
1.24420	0.24110	5.16051	ENSMUSG00000047669	ENSG00000005302
0.41760	0.02070	20.1739	ENSMUSG00000022521	ENSG00000005339
0.50540	0.06160	8.20455	ENSMUSG00000030032	ENSG00000005448
0.39350	0.05090	7.73084	ENSMUSG00000029004	ENSG00000005483
0.64890	0.05730	11.3246	ENSMUSG00000039917	ENSG00000005486
0.57090	0.07370	7.74627	ENSMUSG00000035941	ENSG00000005700
0.48350	0.01280	37.7734	ENSMUSG00000033004	ENSG00000005810
0.51630	0.01400	36.8786	ENSMUSG00000022124	ENSG00000005812
0.64200	0.01010	63.5644	ENSMUSG00000038967	ENSG00000005882
0.51340	0.27380	1.87509	ENSMUSG00000016534	ENSG00000005893
0.46870	0.06830	6.86237	ENSMUSG00000033917	ENSG00000006007
0.75330	0.16780	4.48927	ENSMUSG00000058833	ENSG00000006015
0.67240	0.03440	19.5465	ENSMUSG00000038534	ENSG00000006025
0.59590	0.08270	7.20556	ENSMUSG00000020941	ENSG00000006062
0.32890	0.00050	657.8	ENSMUSG00000035152	ENSG00000006125
0.84020	0.08060	10.4243	ENSMUSG00000020867	ENSG00000006282
0.38530	0.00220	175.136	ENSMUSG00000008859	ENSG00000006451
0.47110	0.04190	11.2434	ENSMUSG00000029916	ENSG00000006530
0.38850	0.02620	14.8282	ENSMUSG00000001627	ENSG00000006652
0.66230	0.11620	5.69966	ENSMUSG00000042148	ENSG00000006695
0.61460	0.00790	77.7975	ENSMUSG00000003437	ENSG00000006712
0.44620	0.01220	36.5738	ENSMUSG00000041236	ENSG00000006715
0.65580	0.09520	6.88866	ENSMUSG00000020549	ENSG00000006744
0.35890	0.03910	9.17903	ENSMUSG00000030168	ENSG00000006831
0.52330	0.01100	47.5727	ENSMUSG00000030397	ENSG00000007047
1.49030	0.04230	35.2317	ENSMUSG00000007721	ENSG00000007080
0.21660	0.00110	196.909	ENSMUSG00000020745	ENSG00000007168
0.38480	0.02920	13.1781	ENSMUSG00000010277	ENSG00000007202
0.85140	0.07750	10.9858	ENSMUSG00000002043	ENSG00000007255
1.21380	0.08600	14.114	ENSMUSG00000041199	ENSG00000007376
0.41490	0.01470	28.2245	ENSMUSG00000024188	ENSG00000007392
0.77200	0.12870	5.99845	ENSMUSG00000015126	ENSG00000007520
1.71960	0.17810	9.65525	ENSMUSG00000025728	ENSG00000007541
0.59560	0.01540	38.6753	ENSMUSG00000039768	ENSG00000007923
0.65630	0.01990	32.9799	ENSMUSG00000038175	ENSG00000007944
