Ensembl Gene ID	Ensembl Transcript ID	Gene Biotype	Transcript Start (bp)	Transcript End (bp)
ENSG00000132832	ENST00000255183	antisense	44656451	44663498
ENSG00000132832	ENST00000415889	antisense	44656451	44696096
ENSG00000172460	ENST00000506153	unitary_pseudogene	2839568	2841848
ENSG00000172460	ENST00000489864	unitary_pseudogene	2839568	2842476
ENSG00000172460	ENST00000476276	unitary_pseudogene	2839568	2842638
ENSG00000172460	ENST00000475030	unitary_pseudogene	2839568	2842710
ENSG00000172460	ENST00000390681	unitary_pseudogene	2839568	2842744
ENSG00000172460	ENST00000480827	unitary_pseudogene	2839656	2841328
ENSG00000177234	ENST00000369071	lincRNA	120597949	120600124
ENSG00000177234	ENST00000623529	lincRNA	120597949	120600108
ENSG00000177699	ENST00000316148	antisense	78978889	78985926
ENSG00000182366	ENST00000330148	lincRNA	375931	383174
ENSG00000182366	ENST00000602608	lincRNA	376243	377759
ENSG00000182366	ENST00000523195	lincRNA	379088	383174
ENSG00000182366	ENST00000613235	lincRNA	377779	378637
ENSG00000183250	ENST00000397841	lincRNA	44932814	44939913
ENSG00000183250	ENST00000330551	lincRNA	44934725	44939845
ENSG00000183250	ENST00000615847	lincRNA	44932814	44934973
ENSG00000186842	ENST00000334165	lincRNA	32572238	32575881
ENSG00000186960	ENST00000399387	lincRNA	28772704	28793234
ENSG00000186960	ENST00000552957	lincRNA	28772785	28778560
ENSG00000186960	ENST00000548213	lincRNA	28772795	28813453
ENSG00000186960	ENST00000550266	lincRNA	28785871	28792803
ENSG00000189275	ENST00000341866	lincRNA	131772398	131790199
ENSG00000202025	ENST00000365155	snRNA	186311825	186311928
ENSG00000203876	ENST00000369657	lincRNA	109941271	109953891
ENSG00000203876	ENST00000369655	lincRNA	109945572	109953891
ENSG00000204092	ENST00000373171	lincRNA	40344344	40346151
ENSG00000204241	ENST00000533922	lincRNA	134032272	134041248
ENSG00000204241	ENST00000532706	lincRNA	134032387	134039830
ENSG00000204241	ENST00000529070	lincRNA	134032652	134038975
ENSG00000204241	ENST00000533091	lincRNA	134032796	134040267
ENSG00000204241	ENST00000527712	lincRNA	134032805	134046849
ENSG00000204241	ENST00000531938	lincRNA	134037109	134039939
ENSG00000204241	ENST00000532327	lincRNA	134038643	134041248
ENSG00000205035	ENST00000534201	transcribed_unprocessed_pseudogene	49558546	49810417
ENSG00000205035	ENST00000530858	transcribed_unprocessed_pseudogene	49560818	49810417
ENSG00000205035	ENST00000527477	transcribed_unprocessed_pseudogene	49560818	49810419
ENSG00000205037	ENST00000378417	lincRNA	88088041	88100959
ENSG00000205037	ENST00000566351	lincRNA	88099409	88100985
ENSG00000205562	ENST00000380722	lincRNA	85524432	85529988
ENSG00000206140	ENST00000456303	lincRNA	21466423	21469935
ENSG00000206140	ENST00000415764	lincRNA	21467262	21469933
ENSG00000206140	ENST00000449424	lincRNA	21467391	21471269
ENSG00000206140	ENST00000456153	lincRNA	21467392	21469933
ENSG00000206140	ENST00000453397	lincRNA	21467465	21469925
ENSG00000206140	ENST00000413877	lincRNA	21467620	21469267
ENSG00000206140	ENST00000432134	lincRNA	21467916	21469172
ENSG00000206140	ENST00000417708	lincRNA	21468098	21469925
ENSG00000206140	ENST00000427147	lincRNA	21468288	21469919
ENSG00000206140	ENST00000425458	lincRNA	21468747	21469935
ENSG00000206140	ENST00000446867	lincRNA	21468756	21469717
ENSG00000206140	ENST00000545656	lincRNA	21466450	21467023
ENSG00000206140	ENST00000621561	lincRNA	21467140	21469935
ENSG00000206140	ENST00000536718	lincRNA	21469148	21469935
ENSG00000207217	ENST00000384488	snoRNA	6016877	6017011
ENSG00000207480	ENST00000384749	misc_RNA	88330176	88330278
ENSG00000207636	ENST00000384904	miRNA	75353611	75353685
ENSG00000210112	ENST00000387377	Mt_tRNA	4402	4469
ENSG00000210154	ENST00000387419	Mt_tRNA	7518	7585
ENSG00000210156	ENST00000387421	Mt_tRNA	8295	8364
ENSG00000210176	ENST00000387441	Mt_tRNA	12138	12206
ENSG00000210191	ENST00000387456	Mt_tRNA	12266	12336
ENSG00000211574	ENST00000390219	miRNA	100852390	100852487
ENSG00000213411	ENST00000393978	processed_pseudogene	30539597	30543461
ENSG00000213640	ENST00000446006	processed_pseudogene	64862999	64864370
ENSG00000213888	ENST00000504184	lincRNA	31346777	31348719
ENSG00000213888	ENST00000614284	lincRNA	31346886	31347406
ENSG00000213938	ENST00000443084	processed_pseudogene	199659551	199660729
ENSG00000214353	ENST00000562507	antisense	70755098	70773251
ENSG00000214353	ENST00000398177	antisense	70755133	70773242
ENSG00000214391	ENST00000530835	processed_pseudogene	90282560	90284172
ENSG00000214659	ENST00000534154	processed_pseudogene	65726939	65728214
ENSG00000214725	ENST00000565014	antisense	29863593	29868053
ENSG00000214725	ENST00000398859	antisense	29863834	29868047
ENSG00000216863	ENST00000429345	antisense	6346465	6622744
ENSG00000216863	ENST00000435641	antisense	6360591	6622695
ENSG00000216863	ENST00000447858	antisense	6366132	6587193
ENSG00000216863	ENST00000606992	antisense	6475306	6492984
ENSG00000216863	ENST00000607278	antisense	6620847	6622771
ENSG00000216863	ENST00000606044	antisense	6620964	6622697
ENSG00000216901	ENST00000405613	unprocessed_pseudogene	28176188	28176674
ENSG00000217801	ENST00000427998	transcribed_unprocessed_pseudogene	1059734	1066456
ENSG00000217801	ENST00000394517	transcribed_unprocessed_pseudogene	1061020	1066005
ENSG00000217801	ENST00000456409	transcribed_unprocessed_pseudogene	1063079	1066456
ENSG00000217801	ENST00000412397	transcribed_unprocessed_pseudogene	1063079	1069355
ENSG00000217801	ENST00000433695	transcribed_unprocessed_pseudogene	1064495	1066274
ENSG00000217801	ENST00000451054	transcribed_unprocessed_pseudogene	1064518	1066441
ENSG00000218416	ENST00000471662	processed_transcript	240449315	240451543
ENSG00000218416	ENST00000404327	processed_transcript	240449418	240456714
ENSG00000218416	ENST00000404891	processed_transcript	240449419	240456700
ENSG00000218416	ENST00000538012	processed_transcript	240450763	240452431
ENSG00000220575	ENST00000395731	antisense	155067067	155071557
ENSG00000220575	ENST00000493904	antisense	155070427	155071557
ENSG00000221533	ENST00000408606	miRNA	154887360	154887458
ENSG00000221625	ENST00000408698	miRNA	98605874	98605960
ENSG00000222044	ENST00000410099	antisense	38032165	38034228
ENSG00000223548	ENST00000424244	antisense	132003592	132007022
ENSG00000223812	ENST00000439804	lincRNA	191557324	191590356
ENSG00000223812	ENST00000438488	lincRNA	191568535	191573509
ENSG00000224076	ENST00000444164	antisense	161422659	161423135
ENSG00000224076	ENST00000437683	antisense	161422659	161423577
ENSG00000224165	ENST00000421904	antisense	24971390	24972822
ENSG00000224165	ENST00000451291	antisense	24971442	25035750
ENSG00000224165	ENST00000445389	antisense	24972126	25027517
ENSG00000224165	ENST00000434897	antisense	24972126	25039694
ENSG00000224165	ENST00000428614	antisense	24972144	25035664
ENSG00000224165	ENST00000422449	antisense	24972165	24972822
ENSG00000224165	ENST00000421842	antisense	24972183	24972830
ENSG00000224167	ENST00000456651	lincRNA	112850028	112877871
ENSG00000224167	ENST00000422022	lincRNA	112850076	112877867
ENSG00000224183	ENST00000414693	processed_pseudogene	25294164	25294643
ENSG00000224222	ENST00000427247	lincRNA	69994626	70007836
ENSG00000224243	ENST00000421423	lincRNA	112107119	112108015
ENSG00000224272	ENST00000413820	antisense	241808312	241810637
ENSG00000224272	ENST00000439270	antisense	241809110	241810623
ENSG00000224272	ENST00000420272	antisense	241809698	241812016
ENSG00000224550	ENST00000416095	processed_pseudogene	107505203	107505448
ENSG00000224592	ENST00000432922	lincRNA	38047314	38105734
ENSG00000224592	ENST00000428151	lincRNA	38047425	38119025
ENSG00000224731	ENST00000418621	antisense	80028012	80030551
ENSG00000224795	ENST00000416725	lincRNA	131662131	131663583
ENSG00000224883	ENST00000424613	antisense	41981304	41982217
ENSG00000224924	ENST00000416768	lincRNA	20742590	20803063
ENSG00000224924	ENST00000437238	lincRNA	20742595	20803098
ENSG00000224924	ENST00000452561	lincRNA	20742921	20803070
ENSG00000224924	ENST00000435279	lincRNA	20742921	20803216
ENSG00000224924	ENST00000419299	lincRNA	20743739	20803086
ENSG00000225110	ENST00000436629	unprocessed_pseudogene	153317683	153320686
ENSG00000225140	ENST00000451601	antisense	628638	631255
ENSG00000225383	ENST00000602763	lincRNA	10784437	10794957
ENSG00000225383	ENST00000415590	lincRNA	10784437	10794967
ENSG00000225383	ENST00000434919	lincRNA	10784438	10794980
ENSG00000225383	ENST00000446372	lincRNA	10784439	10794914
ENSG00000225554	ENST00000444330	lincRNA	241424292	241433328
ENSG00000225554	ENST00000413994	lincRNA	241424398	241433492
ENSG00000225877	ENST00000425668	lincRNA	42821863	42826878
ENSG00000225953	ENST00000442967	antisense	199457700	199459892
ENSG00000225953	ENST00000441234	antisense	199457837	199476504
ENSG00000225953	ENST00000450728	antisense	199468098	199472756
ENSG00000225953	ENST00000446911	antisense	199468886	199470153
ENSG00000225953	ENST00000416200	antisense	199469896	199476935
ENSG00000226083	ENST00000439319	antisense	18001786	18010562
ENSG00000226083	ENST00000445287	antisense	18003104	18007270
ENSG00000226155	ENST00000448113	antisense	195912049	195913986
ENSG00000226155	ENST00000424819	antisense	195912094	195913264
ENSG00000226308	ENST00000412321	lincRNA	57266797	57282998
ENSG00000226308	ENST00000426580	lincRNA	57266802	57280485
ENSG00000226762	ENST00000417149	lincRNA	3240371	3257210
ENSG00000226852	ENST00000443593	lincRNA	28867575	28871267
ENSG00000226920	ENST00000434311	3prime_overlapping_ncrna	229440284	229441020
ENSG00000227392	ENST00000392227	antisense	35059059	35106304
ENSG00000227757	ENST00000454622	antisense	32913649	33071104
ENSG00000228408	ENST00000451095	lincRNA	149217926	149221287
ENSG00000228408	ENST00000443992	lincRNA	149218001	149230159
ENSG00000228408	ENST00000445901	lincRNA	149218698	149244072
ENSG00000228484	ENST00000436932	lincRNA	114764788	114779903
ENSG00000228528	ENST00000453322	lincRNA	104703758	104705509
ENSG00000228620	ENST00000433230	antisense	38424288	38427336
ENSG00000228971	ENST00000440116	lincRNA	95510116	95514729
ENSG00000228971	ENST00000456933	lincRNA	95510167	95782342
ENSG00000228971	ENST00000411798	lincRNA	95510340	95515464
ENSG00000229122	ENST00000411862	sense_intronic	27061038	27061815
ENSG00000229203	ENST00000437330	lincRNA	131829801	131832031
ENSG00000229278	ENST00000452391	antisense	99651989	99653905
ENSG00000229407	ENST00000453051	antisense	179816184	179817424
ENSG00000229407	ENST00000415218	antisense	179816184	179818191
ENSG00000229520	ENST00000418660	lincRNA	112106095	112106882
ENSG00000230269	ENST00000425384	lincRNA	3182744	3195747
ENSG00000230269	ENST00000435043	lincRNA	3182744	3195756
ENSG00000230641	ENST00000452222	antisense	27172259	27182998
ENSG00000230839	ENST00000447206	lincRNA	1804016	1817606
ENSG00000230916	ENST00000441633	processed_pseudogene	126471705	126472403
ENSG00000231133	ENST00000608031	lincRNA	63095493	63102319
ENSG00000231133	ENST00000447910	lincRNA	63095493	63102319
ENSG00000231233	ENST00000435434	antisense	104351591	104353575
ENSG00000231437	ENST00000442751	lincRNA	111989770	111991123
ENSG00000231437	ENST00000428461	lincRNA	111990296	111991173
ENSG00000231437	ENST00000438293	lincRNA	111990536	111998842
ENSG00000231533	ENST00000429444	lincRNA	79420297	79421305
ENSG00000231963	ENST00000454388	antisense	73080167	73084635
ENSG00000232406	ENST00000609884	antisense	36148726	36155760
ENSG00000232406	ENST00000441208	antisense	36150413	36155733
ENSG00000232938	ENST00000425566	transcribed_processed_pseudogene	83226897	83240804
ENSG00000232938	ENST00000573039	transcribed_processed_pseudogene	83239926	83240391
ENSG00000233123	ENST00000451953	lincRNA	101562779	101568971
ENSG00000233123	ENST00000437900	lincRNA	101565306	101569006
ENSG00000233123	ENST00000434537	lincRNA	101565317	101568976
ENSG00000233196	ENST00000450032	processed_pseudogene	186580515	186581191
ENSG00000233393	ENST00000422473	lincRNA	36104881	36109690
ENSG00000233427	ENST00000418471	antisense	28870483	28877336
ENSG00000233452	ENST00000606831	antisense	146841901	146915885
ENSG00000233452	ENST00000427394	antisense	146842566	147204540
ENSG00000233452	ENST00000367477	antisense	146843114	147204614
ENSG00000233452	ENST00000433308	antisense	146850159	146851005
ENSG00000233452	ENST00000447072	antisense	146860657	147131918
ENSG00000233452	ENST00000458125	antisense	146861806	147119463
ENSG00000233452	ENST00000443712	antisense	146864459	146911606
ENSG00000233452	ENST00000431143	antisense	146911826	147131986
ENSG00000233452	ENST00000417502	antisense	147119417	147202467
ENSG00000233487	ENST00000445739	transcribed_processed_pseudogene	196983890	196986942
ENSG00000233487	ENST00000456555	transcribed_processed_pseudogene	196986676	196987558
ENSG00000233508	ENST00000611791	lincRNA	43190101	43202599
ENSG00000233508	ENST00000430025	lincRNA	43190222	43201371
ENSG00000233735	ENST00000412311	antisense	240177839	240179644
ENSG00000233735	ENST00000444308	antisense	240177839	240179644
ENSG00000233755	ENST00000424084	lincRNA	25043707	25113119
ENSG00000233755	ENST00000429666	lincRNA	25110458	25113120
ENSG00000233850	ENST00000448734	antisense	95025193	95026709
ENSG00000234056	ENST00000413501	lincRNA	25172828	25180079
ENSG00000234177	ENST00000424321	lincRNA	104746638	104755755
ENSG00000234177	ENST00000425879	lincRNA	104746640	104757719
ENSG00000234177	ENST00000421071	lincRNA	104749384	104754875
ENSG00000234336	ENST00000455963	antisense	28180322	28240764
ENSG00000234336	ENST00000436758	antisense	28180457	28240731
ENSG00000234336	ENST00000444500	antisense	28239884	28243917
ENSG00000234527	ENST00000430861	antisense	66303871	66323561
ENSG00000234688	ENST00000430281	antisense	36703918	36721472
ENSG00000234917	ENST00000414339	lincRNA	42678735	42681659
ENSG00000234919	ENST00000432711	lincRNA	195569628	195572970
ENSG00000234921	ENST00000429482	antisense	124031624	124032524
ENSG00000235597	ENST00000451400	lincRNA	104433267	104520832
ENSG00000235597	ENST00000429464	lincRNA	104434362	104507831
ENSG00000235597	ENST00000414442	lincRNA	104434366	104506105
ENSG00000235597	ENST00000447380	lincRNA	104434378	104512757
ENSG00000235652	ENST00000606388	antisense	145814912	145886585
ENSG00000235652	ENST00000452617	antisense	145815241	145883439
