dS	dN	Mouse Ensembl Gene ID	Ensembl Gene ID
0.40730	0.21020	ENSMUSG00000074678	ENSG00000180383
0.64520	0.05080	ENSMUSG00000028996	ENSG00000162444
0.78190	0.01730	ENSMUSG00000031516	ENSG00000104671
0.59260	0.03700	ENSMUSG00000027488	ENSG00000101400
1.28680	0.01970	ENSMUSG00000073295	ENSG00000196368
1.32650	0.01970	ENSMUSG00000073293	ENSG00000196368
0.40570	0.00260	ENSMUSG00000066232	ENSG00000205339
0.31860	0.00160	ENSMUSG00000031601	ENSG00000198791
0.36960	0.01620	ENSMUSG00000064127	ENSG00000180182
0.52600	0.00910	ENSMUSG00000027475	ENSG00000101350
0.54060	0.08250	ENSMUSG00000031352	ENSG00000004961
0.86480	0.15000	ENSMUSG00000024053	ENSG00000132205
0.57580	0.12100	ENSMUSG00000070424	ENSG00000167311
0.42470	0.00740	ENSMUSG00000030270	ENSG00000144550
0.74570	0.05650	ENSMUSG00000079037	ENSG00000171867
0.79250	0.14360	ENSMUSG00000045027	ENSG00000005001
0.71110	0.00980	ENSMUSG00000033628	ENSG00000078142
0.55300	0.01890	ENSMUSG00000061411	ENSG00000197183
0.70390	0.44980	ENSMUSG00000071147	ENSG00000212127
0.65520	0.49410	ENSMUSG00000062528	ENSG00000212127
0.64720	0.51440	ENSMUSG00000057381	ENSG00000212127
0.73710	0.47330	ENSMUSG00000062952	ENSG00000212127
0.84430	0.50310	ENSMUSG00000056926	ENSG00000212127
0.62400	0.53760	ENSMUSG00000063762	ENSG00000212127
0.81740	0.41390	ENSMUSG00000030194	ENSG00000212127
0.75380	0.52070	ENSMUSG00000058349	ENSG00000212127
0.74770	0.46800	ENSMUSG00000059410	ENSG00000212127
0.74010	0.48940	ENSMUSG00000071149	ENSG00000212127
0.84530	0.47400	ENSMUSG00000030196	ENSG00000212127
0.49170	0.18470	ENSMUSG00000029832	ENSG00000050344
1.18260	0.01820	ENSMUSG00000032172	ENSG00000105088
0.47830	0.20750	ENSMUSG00000005268	ENSG00000113494
0.76970	0.20610	ENSMUSG00000062154	ENSG00000185264
65.61290	0.85400	ENSMUSG00000024128	ENSG00000162078
65.83890	0.84320	ENSMUSG00000024125	ENSG00000162078
0.47720	0.03600	ENSMUSG00000022132	ENSG00000134873
0.79470	0.15640	ENSMUSG00000024334	ENSG00000204252
0.35850	0.03150	ENSMUSG00000028458	ENSG00000107140
1.01330	0.87240	ENSMUSG00000079704	ENSG00000241476
0.45130	0.67280	ENSMUSG00000095316	ENSG00000241476
0.99190	0.86730	ENSMUSG00000035371	ENSG00000241476
1.37660	0.83330	ENSMUSG00000079697	ENSG00000241476
1.34400	0.80760	ENSMUSG00000071816	ENSG00000241476
1.42220	0.74830	ENSMUSG00000062814	ENSG00000241476
