Ensembl Gene ID	Ensembl Transcript ID	Gene Biotype	Gene Start (bp)	Gene End (bp)
ENSG00000002079	ENST00000439784	unitary_pseudogene	99238794	99311130
ENSG00000002079	ENST00000453194	unitary_pseudogene	99238794	99311130
ENSG00000002079	ENST00000413734	unitary_pseudogene	99238794	99311130
ENSG00000002079	ENST00000425880	unitary_pseudogene	99238794	99311130
ENSG00000002079	ENST00000452010	unitary_pseudogene	99238794	99311130
ENSG00000002079	ENST00000429079	unitary_pseudogene	99238794	99311130
ENSG00000002079	ENST00000453378	unitary_pseudogene	99238794	99311130
ENSG00000067601	ENST00000412466	transcribed_unprocessed_pseudogene	67295608	67302907
ENSG00000067601	ENST00000414507	transcribed_unprocessed_pseudogene	67295608	67302907
ENSG00000073905	ENST00000439229	processed_pseudogene	80929500	80930347
ENSG00000078319	ENST00000431037	unprocessed_pseudogene	100320992	100341908
ENSG00000080947	ENST00000263511	transcribed_unprocessed_pseudogene	16467436	16499257
ENSG00000080947	ENST00000591348	transcribed_unprocessed_pseudogene	16467436	16499257
ENSG00000080947	ENST00000420820	transcribed_unprocessed_pseudogene	16467436	16499257
ENSG00000080947	ENST00000591316	transcribed_unprocessed_pseudogene	16467436	16499257
ENSG00000080947	ENST00000590118	transcribed_unprocessed_pseudogene	16467436	16499257
ENSG00000080947	ENST00000589964	transcribed_unprocessed_pseudogene	16467436	16499257
ENSG00000088340	ENST00000616283	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000621044	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000611673	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000613061	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000616711	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000615531	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000440443	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000452272	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000430275	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000412452	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000325076	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000434843	unitary_pseudogene	35558737	35607562
ENSG00000088340	ENST00000426117	unitary_pseudogene	35558737	35607562
ENSG00000093100	ENST00000476405	processed_transcript	17787652	17811497
ENSG00000099251	ENST00000494540	transcribed_unprocessed_pseudogene	38356380	38378505
ENSG00000099251	ENST00000471365	transcribed_unprocessed_pseudogene	38356380	38378505
ENSG00000099725	ENST00000528056	transcribed_unprocessed_pseudogene	7273972	7381548
ENSG00000099725	ENST00000533551	transcribed_unprocessed_pseudogene	7273972	7381548
ENSG00000099725	ENST00000495163	transcribed_unprocessed_pseudogene	7273972	7381548
ENSG00000099725	ENST00000472666	transcribed_unprocessed_pseudogene	7273972	7381548
ENSG00000099984	ENST00000402588	polymorphic_pseudogene	23980123	23983911
ENSG00000099984	ENST00000621118	polymorphic_pseudogene	23980123	23983911
ENSG00000100058	ENST00000382734	transcribed_unprocessed_pseudogene	25448105	25520854
ENSG00000100058	ENST00000415709	transcribed_unprocessed_pseudogene	25448105	25520854
ENSG00000100058	ENST00000354451	transcribed_unprocessed_pseudogene	25448105	25520854
ENSG00000100058	ENST00000509460	transcribed_unprocessed_pseudogene	25448105	25520854
ENSG00000100058	ENST00000609084	transcribed_unprocessed_pseudogene	25448105	25520854
ENSG00000100058	ENST00000609513	transcribed_unprocessed_pseudogene	25448105	25520854
ENSG00000100181	ENST00000558085	lincRNA	16601887	16698742
ENSG00000100181	ENST00000592918	lincRNA	16601887	16698742
ENSG00000100181	ENST00000400593	lincRNA	16601887	16698742
ENSG00000100181	ENST00000592107	lincRNA	16601887	16698742
ENSG00000100181	ENST00000426585	lincRNA	16601887	16698742
ENSG00000100181	ENST00000591299	lincRNA	16601887	16698742
ENSG00000100181	ENST00000588548	lincRNA	16601887	16698742
ENSG00000100181	ENST00000383140	lincRNA	16601887	16698742
ENSG00000100181	ENST00000585784	lincRNA	16601887	16698742
ENSG00000100181	ENST00000588424	lincRNA	16601887	16698742
ENSG00000100181	ENST00000415121	lincRNA	16601887	16698742
ENSG00000101278	ENST00000492704	processed_pseudogene	839447	839977
ENSG00000101898	ENST00000394552	processed_pseudogene	31547504	31548049
ENSG00000102055	ENST00000378131	processed_pseudogene	42777471	42778079
ENSG00000103472	ENST00000564580	transcribed_unprocessed_pseudogene	29074976	29116718
ENSG00000103472	ENST00000427965	transcribed_unprocessed_pseudogene	29074976	29116718
ENSG00000103472	ENST00000566038	transcribed_unprocessed_pseudogene	29074976	29116718
ENSG00000103832	ENST00000527159	unprocessed_pseudogene	30791573	30801859
ENSG00000105988	ENST00000335274	processed_pseudogene	92216332	92216793
ENSG00000106133	ENST00000602348	transcribed_unprocessed_pseudogene	72947581	72954790
ENSG00000106133	ENST00000444583	transcribed_unprocessed_pseudogene	72947581	72954790
ENSG00000106133	ENST00000485741	transcribed_unprocessed_pseudogene	72947581	72954790
ENSG00000106133	ENST00000388955	transcribed_unprocessed_pseudogene	72947581	72954790
ENSG00000106133	ENST00000457352	transcribed_unprocessed_pseudogene	72947581	72954790
ENSG00000106610	ENST00000416602	transcribed_unprocessed_pseudogene	67302621	67321526
ENSG00000106610	ENST00000472361	transcribed_unprocessed_pseudogene	67302621	67321526
ENSG00000106610	ENST00000352103	transcribed_unprocessed_pseudogene	67302621	67321526
ENSG00000108785	ENST00000590052	unprocessed_pseudogene	42546764	42548706
ENSG00000108958	ENST00000451056	processed_pseudogene	1858039	1858446
ENSG00000111788	ENST00000539757	unprocessed_pseudogene	9277235	9313241
ENSG00000116652	ENST00000371086	sense_intronic	63547082	63550636
ENSG00000116883	ENST00000373137	antisense	36323734	36329221
ENSG00000117242	ENST00000451424	antisense	20642657	20652193
ENSG00000120555	ENST00000475691	transcribed_unprocessed_pseudogene	38383069	38402916
ENSG00000120555	ENST00000489259	transcribed_unprocessed_pseudogene	38383069	38402916
ENSG00000120555	ENST00000604116	transcribed_unprocessed_pseudogene	38383069	38402916
ENSG00000120664	ENST00000488319	antisense	36346431	36369601
ENSG00000120664	ENST00000379848	antisense	36346431	36369601
ENSG00000120664	ENST00000493739	antisense	36346431	36369601
ENSG00000121388	ENST00000382988	unprocessed_pseudogene	19185225	19187349
ENSG00000122432	ENST00000370638	transcribed_unprocessed_pseudogene	84506291	84566194
ENSG00000122432	ENST00000484939	transcribed_unprocessed_pseudogene	84506291	84566194
ENSG00000122432	ENST00000490879	transcribed_unprocessed_pseudogene	84506291	84566194
ENSG00000122432	ENST00000468437	transcribed_unprocessed_pseudogene	84506291	84566194
ENSG00000122432	ENST00000431031	transcribed_unprocessed_pseudogene	84506291	84566194
ENSG00000122432	ENST00000554297	transcribed_unprocessed_pseudogene	84506291	84566194
ENSG00000122432	ENST00000485121	transcribed_unprocessed_pseudogene	84506291	84566194
ENSG00000122432	ENST00000473108	transcribed_unprocessed_pseudogene	84506291	84566194
ENSG00000122432	ENST00000460286	transcribed_unprocessed_pseudogene	84506291	84566194
ENSG00000123009	ENST00000426182	processed_pseudogene	120282303	120282716
ENSG00000123201	ENST00000493639	unitary_pseudogene	50994511	51080862
ENSG00000123201	ENST00000533288	unitary_pseudogene	50994511	51080862
ENSG00000123201	ENST00000485590	unitary_pseudogene	50994511	51080862
ENSG00000123201	ENST00000531898	unitary_pseudogene	50994511	51080862
ENSG00000123201	ENST00000389600	unitary_pseudogene	50994511	51080862
ENSG00000123201	ENST00000532104	unitary_pseudogene	50994511	51080862
ENSG00000123447	ENST00000243152	unprocessed_pseudogene	49405091	49415789
ENSG00000123870	ENST00000597158	transcribed_unprocessed_pseudogene	52588505	52597345
ENSG00000123870	ENST00000456718	transcribed_unprocessed_pseudogene	52588505	52597345
ENSG00000123965	ENST00000398065	unprocessed_pseudogene	74894116	74897835
ENSG00000124097	ENST00000522557	processed_pseudogene	57488392	57489027
ENSG00000124224	ENST00000497138	transcribed_unprocessed_pseudogene	58228940	58309439
ENSG00000124224	ENST00000334187	transcribed_unprocessed_pseudogene	58228940	58309439
ENSG00000124224	ENST00000457990	transcribed_unprocessed_pseudogene	58228940	58309439
ENSG00000124224	ENST00000467784	transcribed_unprocessed_pseudogene	58228940	58309439
ENSG00000124224	ENST00000493688	transcribed_unprocessed_pseudogene	58228940	58309439
ENSG00000124224	ENST00000606437	transcribed_unprocessed_pseudogene	58228940	58309439
ENSG00000124224	ENST00000473210	transcribed_unprocessed_pseudogene	58228940	58309439
ENSG00000124224	ENST00000495058	transcribed_unprocessed_pseudogene	58228940	58309439
ENSG00000124224	ENST00000244070	transcribed_unprocessed_pseudogene	58228940	58309439
ENSG00000124224	ENST00000422302	transcribed_unprocessed_pseudogene	58228940	58309439
ENSG00000124399	ENST00000513465	processed_pseudogene	43898962	43899351
ENSG00000124549	ENST00000465856	transcribed_unprocessed_pseudogene	26421391	26432383
ENSG00000124549	ENST00000377662	transcribed_unprocessed_pseudogene	26421391	26432383
ENSG00000124549	ENST00000466808	transcribed_unprocessed_pseudogene	26421391	26432383
ENSG00000124549	ENST00000475151	transcribed_unprocessed_pseudogene	26421391	26432383
ENSG00000124549	ENST00000463944	transcribed_unprocessed_pseudogene	26421391	26432383
ENSG00000124915	ENST00000536405	lincRNA	61746493	61757655
ENSG00000124915	ENST00000541891	lincRNA	61746493	61757655
ENSG00000124915	ENST00000244906	lincRNA	61746493	61757655
ENSG00000125514	ENST00000414668	lincRNA	63034217	63037028
ENSG00000125514	ENST00000370341	lincRNA	63034217	63037028
ENSG00000125514	ENST00000456634	lincRNA	63034217	63037028
ENSG00000125631	ENST00000430851	transcribed_unprocessed_pseudogene	117859427	117934942
ENSG00000125631	ENST00000434708	transcribed_unprocessed_pseudogene	117859427	117934942
ENSG00000125804	ENST00000376398	processed_transcript	26054655	26086917
ENSG00000125804	ENST00000389261	processed_transcript	26054655	26086917
ENSG00000125804	ENST00000439881	processed_transcript	26054655	26086917
ENSG00000125804	ENST00000471057	processed_transcript	26054655	26086917
ENSG00000125804	ENST00000482133	processed_transcript	26054655	26086917
ENSG00000125899	ENST00000378252	lincRNA	11027760	11029366
ENSG00000126005	ENST00000566203	antisense	35216462	35278131
ENSG00000126005	ENST00000433764	antisense	35216462	35278131
ENSG00000126005	ENST00000438751	antisense	35216462	35278131
ENSG00000126005	ENST00000454184	antisense	35216462	35278131
ENSG00000126005	ENST00000456350	antisense	35216462	35278131
ENSG00000126005	ENST00000453892	antisense	35216462	35278131
ENSG00000126005	ENST00000455178	antisense	35216462	35278131
ENSG00000126005	ENST00000435366	antisense	35216462	35278131
ENSG00000126005	ENST00000424358	antisense	35216462	35278131
ENSG00000126005	ENST00000456790	antisense	35216462	35278131
ENSG00000127957	ENST00000529061	transcribed_unprocessed_pseudogene	75502930	75528148
ENSG00000127957	ENST00000394921	transcribed_unprocessed_pseudogene	75502930	75528148
ENSG00000127957	ENST00000430602	transcribed_unprocessed_pseudogene	75502930	75528148
