Ensembl Gene ID	Ensembl Transcript ID	Gene Biotype	Transcript Start (bp)	Transcript End (bp)
ENSG00000078319	ENST00000431037	unprocessed_pseudogene	100320992	100341908
ENSG00000093100	ENST00000476405	processed_transcript	17787652	17811497
ENSG00000106133	ENST00000602348	transcribed_unprocessed_pseudogene	72947581	72954706
ENSG00000106133	ENST00000444583	transcribed_unprocessed_pseudogene	72948293	72954713
ENSG00000106133	ENST00000485741	transcribed_unprocessed_pseudogene	72948298	72954720
ENSG00000106133	ENST00000388955	transcribed_unprocessed_pseudogene	72948298	72954790
ENSG00000106133	ENST00000457352	transcribed_unprocessed_pseudogene	72948485	72954717
ENSG00000126005	ENST00000566203	antisense	35216462	35278122
ENSG00000126005	ENST00000433764	antisense	35217825	35278125
ENSG00000126005	ENST00000438751	antisense	35224520	35278104
ENSG00000126005	ENST00000454184	antisense	35224744	35278131
ENSG00000126005	ENST00000456350	antisense	35225600	35278103
ENSG00000126005	ENST00000453892	antisense	35256037	35272056
ENSG00000126005	ENST00000455178	antisense	35272005	35278103
ENSG00000126005	ENST00000435366	antisense	35276361	35278027
ENSG00000126005	ENST00000424358	antisense	35277150	35278129
ENSG00000126005	ENST00000456790	antisense	35277342	35278129
ENSG00000127957	ENST00000529061	transcribed_unprocessed_pseudogene	75502930	75527809
ENSG00000127957	ENST00000394921	transcribed_unprocessed_pseudogene	75507747	75528051
ENSG00000127957	ENST00000430602	transcribed_unprocessed_pseudogene	75507750	75527836
ENSG00000127957	ENST00000418756	transcribed_unprocessed_pseudogene	75507753	75528123
ENSG00000127957	ENST00000533167	transcribed_unprocessed_pseudogene	75511017	75527579
ENSG00000127957	ENST00000437568	transcribed_unprocessed_pseudogene	75511017	75528088
ENSG00000127957	ENST00000422064	transcribed_unprocessed_pseudogene	75512589	75528148
ENSG00000127957	ENST00000438326	transcribed_unprocessed_pseudogene	75516043	75525955
ENSG00000128692	ENST00000461070	processed_pseudogene	170751805	170752788
ENSG00000132967	ENST00000255320	transcribed_processed_pseudogene	22381819	22382460
ENSG00000132967	ENST00000451497	transcribed_processed_pseudogene	22381945	22382929
ENSG00000133624	ENST00000463567	transcribed_unprocessed_pseudogene	149547154	149624727
ENSG00000133624	ENST00000472212	transcribed_unprocessed_pseudogene	149547159	149624752
ENSG00000133624	ENST00000486492	transcribed_unprocessed_pseudogene	149549083	149624628
ENSG00000133624	ENST00000481762	transcribed_unprocessed_pseudogene	149558786	149621150
ENSG00000133624	ENST00000493198	transcribed_unprocessed_pseudogene	149619749	149621344
ENSG00000133624	ENST00000513792	transcribed_unprocessed_pseudogene	149619924	149624565
ENSG00000136149	ENST00000484130	processed_pseudogene	54440704	54441315
ENSG00000137970	ENST00000468715	processed_pseudogene	96678874	96679620
ENSG00000139239	ENST00000484568	processed_pseudogene	62965325	62965969
ENSG00000142396	ENST00000413518	processed_transcript	58305319	58315663
ENSG00000142396	ENST00000427361	processed_transcript	58305374	58315202
ENSG00000142396	ENST00000610038	processed_transcript	58305375	58314781
ENSG00000142396	ENST00000434052	processed_transcript	58305377	58306634
ENSG00000142396	ENST00000608070	processed_transcript	58305377	58312386
ENSG00000142396	ENST00000609864	processed_transcript	58305377	58312462
ENSG00000142396	ENST00000608004	processed_transcript	58306088	58312314
ENSG00000142396	ENST00000590505	processed_transcript	58309030	58315203
ENSG00000146556	ENST00000453662	transcribed_unprocessed_pseudogene	113588550	113599034
ENSG00000146556	ENST00000538033	transcribed_unprocessed_pseudogene	113594176	113599043
ENSG00000152117	ENST00000415574	transcribed_processed_pseudogene	131492813	131520421
ENSG00000152117	ENST00000438378	transcribed_processed_pseudogene	131492813	131521573
ENSG00000157306	ENST00000556354	processed_transcript	23511760	23559160
ENSG00000157306	ENST00000556613	processed_transcript	23512772	23514553
ENSG00000157306	ENST00000553985	processed_transcript	23512817	23560778
ENSG00000157306	ENST00000557568	processed_transcript	23513187	23514510
ENSG00000157306	ENST00000554403	processed_transcript	23513349	23544276
ENSG00000163597	ENST00000591956	processed_transcript	76557766	76561751
ENSG00000163597	ENST00000586846	processed_transcript	76557767	76558460
ENSG00000163597	ENST00000587743	processed_transcript	76557769	76560433
ENSG00000163597	ENST00000586942	processed_transcript	76557769	76563160
ENSG00000163597	ENST00000493536	processed_transcript	76557770	76565343
ENSG00000163597	ENST00000448136	processed_transcript	76557778	76565348
ENSG00000163597	ENST00000590435	processed_transcript	76557792	76565279
ENSG00000163597	ENST00000587838	processed_transcript	76558463	76563753
ENSG00000170089	ENST00000515065	transcribed_unprocessed_pseudogene	177809407	177883916
ENSG00000170089	ENST00000506082	transcribed_unprocessed_pseudogene	177809481	177882383
ENSG00000170089	ENST00000510692	transcribed_unprocessed_pseudogene	177832752	177882516
ENSG00000170089	ENST00000506672	transcribed_unprocessed_pseudogene	177875522	177884272
ENSG00000170089	ENST00000512851	transcribed_unprocessed_pseudogene	177875595	177883831
ENSG00000170089	ENST00000515525	transcribed_unprocessed_pseudogene	177876255	177882505
ENSG00000170089	ENST00000507037	transcribed_unprocessed_pseudogene	177876255	177950732
ENSG00000170089	ENST00000502601	transcribed_unprocessed_pseudogene	177878531	177882661
ENSG00000170089	ENST00000511074	transcribed_unprocessed_pseudogene	177878790	177883701
ENSG00000170089	ENST00000504756	transcribed_unprocessed_pseudogene	177882391	177883000
ENSG00000170089	ENST00000358442	transcribed_unprocessed_pseudogene	177882443	177921387
ENSG00000170089	ENST00000514635	transcribed_unprocessed_pseudogene	177882686	177917267
ENSG00000170089	ENST00000503449	transcribed_unprocessed_pseudogene	177885260	177932277
ENSG00000170846	ENST00000307533	lincRNA	6673451	6676047
ENSG00000170846	ENST00000444232	lincRNA	6673451	6676047
ENSG00000170919	ENST00000517509	antisense	45341345	45393413
ENSG00000170919	ENST00000412946	antisense	45341419	45369916
ENSG00000170919	ENST00000520622	antisense	45341420	45377127
ENSG00000170919	ENST00000520590	antisense	45341429	45378671
ENSG00000170919	ENST00000523506	antisense	45341491	45378663
ENSG00000170919	ENST00000521336	antisense	45341511	45378671
ENSG00000170919	ENST00000522859	antisense	45341513	45370507
ENSG00000170919	ENST00000524062	antisense	45341513	45391737
ENSG00000170919	ENST00000520310	antisense	45341538	45378620
ENSG00000170919	ENST00000520924	antisense	45341592	45370330
ENSG00000170919	ENST00000618947	antisense	45341599	45360486
ENSG00000170919	ENST00000521507	antisense	45344304	45379274
ENSG00000170919	ENST00000523445	antisense	45344379	45381217
ENSG00000170919	ENST00000522845	antisense	45369959	45378632
ENSG00000170919	ENST00000434849	antisense	45374934	45378616
ENSG00000170919	ENST00000520585	antisense	45378530	45390879
ENSG00000170919	ENST00000522673	antisense	45378560	45391722
ENSG00000170919	ENST00000519454	antisense	45379284	45391157
ENSG00000170919	ENST00000520432	antisense	45382825	45391352
ENSG00000170919	ENST00000330825	antisense	45387585	45391475
ENSG00000170919	ENST00000379050	antisense	45390745	45391548
ENSG00000170919	ENST00000619457	antisense	45389794	45391376
ENSG00000172974	ENST00000467568	processed_pseudogene	65205108	65205988
ENSG00000173867	ENST00000561140	processed_transcript	88459717	88511521
ENSG00000173867	ENST00000606219	processed_transcript	88494440	88512529
ENSG00000174028	ENST00000312214	processed_pseudogene	23075758	23076767
ENSG00000176700	ENST00000348993	transcribed_unprocessed_pseudogene	84631451	84647478
ENSG00000176700	ENST00000427525	transcribed_unprocessed_pseudogene	84631479	84635421
ENSG00000176700	ENST00000558612	transcribed_unprocessed_pseudogene	84631543	84634039
ENSG00000176700	ENST00000530891	transcribed_unprocessed_pseudogene	84631827	84637421
ENSG00000176700	ENST00000560416	transcribed_unprocessed_pseudogene	84631827	84638413
ENSG00000176700	ENST00000541103	transcribed_unprocessed_pseudogene	84631963	84642066
ENSG00000176700	ENST00000560678	transcribed_unprocessed_pseudogene	84634230	84640559
ENSG00000176700	ENST00000560543	transcribed_unprocessed_pseudogene	84634262	84639640
ENSG00000176700	ENST00000558508	transcribed_unprocessed_pseudogene	84634281	84639562
ENSG00000176868	ENST00000616163	antisense	131497479	131500191
ENSG00000176868	ENST00000321081	antisense	131498805	131500171
ENSG00000177144	ENST00000322209	processed_pseudogene	148748953	148749498
ENSG00000177410	ENST00000371743	antisense	49278178	49289260
ENSG00000177410	ENST00000441722	antisense	49278178	49289260
ENSG00000177410	ENST00000417721	antisense	49278178	49289260
