Ensembl Gene ID	Ensembl Transcript ID	Gene Biotype	Transcript Start (bp)	Transcript End (bp)
ENSG00000002745	ENST00000361301	protein_coding	121325367	121339458
ENSG00000002745	ENST00000222462	protein_coding	121329003	121341104
ENSG00000003987	ENST00000180173	protein_coding	17298030	17413327
ENSG00000003987	ENST00000521857	protein_coding	17301651	17413327
ENSG00000003987	ENST00000519590	protein_coding	17302202	17311673
ENSG00000003987	ENST00000519763	protein_coding	17304439	17311863
ENSG00000003987	ENST00000517317	protein_coding	17313385	17413307
ENSG00000003987	ENST00000519122	protein_coding	17326317	17349057
ENSG00000003987	ENST00000518272	protein_coding	17331200	17349237
ENSG00000003987	ENST00000523571	protein_coding	17338730	17349485
ENSG00000003987	ENST00000521177	protein_coding	17372995	17413528
ENSG00000006116	ENST00000005284	protein_coding	24255553	24362801
ENSG00000006283	ENST00000360761	protein_coding	50561068	50627070
ENSG00000006283	ENST00000352832	protein_coding	50561088	50627474
ENSG00000006283	ENST00000442258	protein_coding	50561285	50627070
ENSG00000006283	ENST00000416767	protein_coding	50561432	50606472
ENSG00000006283	ENST00000502264	protein_coding	50561460	50626751
ENSG00000006283	ENST00000512389	protein_coding	50561460	50626766
ENSG00000006283	ENST00000513964	protein_coding	50561460	50626766
ENSG00000006283	ENST00000514717	protein_coding	50561460	50626766
ENSG00000006283	ENST00000510366	protein_coding	50561460	50626766
ENSG00000006283	ENST00000503485	protein_coding	50561460	50626766
ENSG00000006283	ENST00000507510	protein_coding	50561460	50626766
ENSG00000006283	ENST00000511765	protein_coding	50561460	50626766
ENSG00000006283	ENST00000507336	protein_coding	50561460	50626766
ENSG00000006283	ENST00000506406	protein_coding	50561460	50626766
ENSG00000006283	ENST00000504076	protein_coding	50561460	50626766
ENSG00000006283	ENST00000513689	protein_coding	50561460	50626766
ENSG00000006283	ENST00000507609	protein_coding	50561460	50626766
ENSG00000006283	ENST00000503436	protein_coding	50561460	50626766
ENSG00000006283	ENST00000510115	protein_coding	50561460	50626766
ENSG00000006283	ENST00000515165	protein_coding	50561460	50626766
ENSG00000006283	ENST00000514181	protein_coding	50561460	50626766
ENSG00000006283	ENST00000515765	protein_coding	50561460	50626766
ENSG00000006283	ENST00000514079	protein_coding	50561460	50626766
ENSG00000006283	ENST00000507896	protein_coding	50561460	50626766
ENSG00000006283	ENST00000511768	protein_coding	50561460	50626766
ENSG00000006283	ENST00000505165	protein_coding	50561460	50626766
ENSG00000006283	ENST00000503607	protein_coding	50561460	50626766
ENSG00000006283	ENST00000515411	protein_coding	50561460	50626766
ENSG00000006283	ENST00000429973	protein_coding	50561460	50627070
ENSG00000006283	ENST00000359106	protein_coding	50561460	50627265
ENSG00000006283	ENST00000358244	protein_coding	50561460	50627265
ENSG00000006283	ENST00000570567	protein_coding	50569165	50573674
ENSG00000006283	ENST00000506520	protein_coding	50599725	50607510
ENSG00000006283	ENST00000354983	protein_coding	50561068	50627465
ENSG00000007001	ENST00000605860	protein_coding	157876702	158136154
ENSG00000007001	ENST00000460456	protein_coding	158101868	158135227
ENSG00000007001	ENST00000005756	protein_coding	158101870	158135966
ENSG00000007001	ENST00000489438	protein_coding	158126426	158135298
ENSG00000007171	ENST00000313735	protein_coding	27756766	27800499
ENSG00000007171	ENST00000621962	protein_coding	27757246	27798809
ENSG00000007372	ENST00000379132	protein_coding	31788910	31817961
ENSG00000007372	ENST00000379129	protein_coding	31788910	31817961
ENSG00000007372	ENST00000379107	protein_coding	31789182	31810305
ENSG00000007372	ENST00000464174	protein_coding	31789830	31817937
ENSG00000007372	ENST00000241001	protein_coding	31789913	31811237
ENSG00000007372	ENST00000379115	protein_coding	31789917	31811331
ENSG00000007372	ENST00000474783	protein_coding	31789918	31791309
ENSG00000007372	ENST00000379111	protein_coding	31789922	31811045
ENSG00000007372	ENST00000379123	protein_coding	31789922	31811677
ENSG00000007372	ENST00000494377	protein_coding	31789936	31803333
ENSG00000007372	ENST00000470027	protein_coding	31789936	31804046
ENSG00000007372	ENST00000379109	protein_coding	31789936	31810667
ENSG00000007372	ENST00000533333	protein_coding	31789936	31811308
ENSG00000007372	ENST00000532916	protein_coding	31793173	31794126
ENSG00000007372	ENST00000530373	protein_coding	31793483	31800646
ENSG00000007372	ENST00000531910	protein_coding	31793674	31801335
ENSG00000007372	ENST00000471303	protein_coding	31794098	31804044
ENSG00000007372	ENST00000455099	protein_coding	31794780	31806921
ENSG00000007372	ENST00000481563	protein_coding	31800707	31804025
ENSG00000007372	ENST00000534390	protein_coding	31800763	31802971
ENSG00000007372	ENST00000534353	protein_coding	31801578	31804619
ENSG00000007372	ENST00000530714	protein_coding	31801617	31803673
ENSG00000007372	ENST00000533156	protein_coding	31801728	31806013
ENSG00000007372	ENST00000524853	protein_coding	31801745	31812177
ENSG00000007372	ENST00000423822	protein_coding	31801869	31817874
ENSG00000007372	ENST00000438681	protein_coding	31802729	31811137
ENSG00000007372	ENST00000527769	protein_coding	31806344	31811118
ENSG00000007372	ENST00000532175	protein_coding	31806344	31817948
ENSG00000007372	ENST00000525535	protein_coding	31806406	31812926
ENSG00000007372	ENST00000419022	protein_coding	31784792	31817961
ENSG00000007372	ENST00000606377	protein_coding	31784792	31812183
ENSG00000011083	ENST00000230671	protein_coding	150189957	150211072
ENSG00000011083	ENST00000524041	protein_coding	150190085	150222788
ENSG00000011083	ENST00000513403	protein_coding	150190251	150195204
ENSG00000011677	ENST00000370314	protein_coding	152166234	152451358
ENSG00000011677	ENST00000535043	protein_coding	152168228	152389497
ENSG00000011677	ENST00000497894	protein_coding	152187209	152189943
ENSG00000011677	ENST00000417858	protein_coding	152251058	152255998
ENSG00000015592	ENST00000350889	protein_coding	27235323	27258386
ENSG00000015592	ENST00000519997	protein_coding	27235885	27258401
ENSG00000015592	ENST00000265770	protein_coding	27236303	27258409
ENSG00000015592	ENST00000523048	protein_coding	27236475	27258420
ENSG00000015592	ENST00000519614	protein_coding	27239340	27258404
ENSG00000015592	ENST00000522908	protein_coding	27239690	27258404
ENSG00000015592	ENST00000522750	protein_coding	27241168	27258398
ENSG00000016602	ENST00000370563	protein_coding	86547078	86580754
ENSG00000016602	ENST00000496322	protein_coding	86571116	86572956
ENSG00000022355	ENST00000023897	protein_coding	161847191	161897666
ENSG00000022355	ENST00000428797	protein_coding	161847679	161899969
ENSG00000022355	ENST00000393943	protein_coding	161847934	161897666
ENSG00000022355	ENST00000437025	protein_coding	161848444	161899954
ENSG00000022355	ENST00000521339	protein_coding	161848892	161865788
ENSG00000022355	ENST00000522651	protein_coding	161850386	161865789
ENSG00000022355	ENST00000519621	protein_coding	161850597	161873230
ENSG00000022355	ENST00000519542	protein_coding	161873098	161891002
ENSG00000054803	ENST00000064571	protein_coding	55997440	56005472
ENSG00000058335	ENST00000558480	protein_coding	78959947	79090764
ENSG00000058335	ENST00000419573	protein_coding	78959947	79090773
ENSG00000058335	ENST00000394745	protein_coding	78961942	79005665
ENSG00000058335	ENST00000559926	protein_coding	78971903	78979125
ENSG00000058335	ENST00000560334	protein_coding	78978380	79064663
ENSG00000058335	ENST00000623620	protein_coding	78980146	78981666
ENSG00000058335	ENST00000560286	protein_coding	78980425	78985310
ENSG00000058335	ENST00000560943	protein_coding	78980657	78998266
ENSG00000058335	ENST00000561112	protein_coding	78991712	78998071
ENSG00000060140	ENST00000075503	protein_coding	10618939	10674292
ENSG00000060140	ENST00000542924	protein_coding	10627640	10629638
ENSG00000060140	ENST00000542562	protein_coding	10631234	10674050
ENSG00000060140	ENST00000538867	protein_coding	10631247	10673658
ENSG00000060140	ENST00000535345	protein_coding	10633981	10674030
ENSG00000060140	ENST00000541561	protein_coding	10634055	10674318
ENSG00000063015	ENST00000360295	protein_coding	28954901	29006145
ENSG00000063015	ENST00000540632	protein_coding	28954905	28981872
ENSG00000063015	ENST00000317338	protein_coding	28954905	29006298
ENSG00000063015	ENST00000540419	protein_coding	28954906	28981592
ENSG00000063015	ENST00000535262	protein_coding	28955131	28956439
ENSG00000063015	ENST00000442608	protein_coding	28955131	29005913
ENSG00000063015	ENST00000544224	protein_coding	28956364	28957813
ENSG00000063015	ENST00000539265	protein_coding	28960240	28960973
ENSG00000063015	ENST00000585644	protein_coding	28981550	29006440
ENSG00000063015	ENST00000335960	protein_coding	28954931	29006048
ENSG00000072041	ENST00000266682	protein_coding	84859488	84912876
ENSG00000072041	ENST00000309283	protein_coding	84859713	84873330
ENSG00000072041	ENST00000552192	protein_coding	84861594	84912801
ENSG00000072041	ENST00000548267	protein_coding	84861603	84867833
ENSG00000072041	ENST00000551818	protein_coding	84870562	84874528
ENSG00000072041	ENST00000551388	protein_coding	84873087	84912825
ENSG00000072041	ENST00000551612	protein_coding	84873129	84912793
ENSG00000072041	ENST00000450363	protein_coding	84880845	84912793
ENSG00000072041	ENST00000547240	protein_coding	84883998	84912821
ENSG00000072041	ENST00000549540	protein_coding	84891833	84912024
ENSG00000072041	ENST00000551010	protein_coding	84892062	84913615
ENSG00000074317	ENST00000310112	protein_coding	176620084	176630364
ENSG00000074317	ENST00000393693	protein_coding	176620241	176630529
ENSG00000074317	ENST00000510387	protein_coding	176620681	176629994
ENSG00000074317	ENST00000506696	protein_coding	176620785	176630000
ENSG00000074317	ENST00000508006	protein_coding	176621214	176630048
ENSG00000074317	ENST00000614675	protein_coding	176620210	176630556
ENSG00000082556	ENST00000265572	protein_coding	53225724	53251697
ENSG00000082556	ENST00000522508	protein_coding	53228791	53251617
ENSG00000082556	ENST00000524278	protein_coding	53229203	53238732
ENSG00000082556	ENST00000520287	protein_coding	53229213	53251412
ENSG00000082556	ENST00000612786	protein_coding	53225716	53251697
ENSG00000082556	ENST00000613482	protein_coding	53225716	53251037
ENSG00000084453	ENST00000307378	protein_coding	21264600	21395437
