dS	dN	dN/dS	Mouse	Ensembl
0.55840	0.04600	12.1391	ENSMUSG00000029671	ENSG00000002745
0.51840	0.02610	19.8621	ENSMUSG00000039431	ENSG00000003987
0.51120	0.00570	89.6842	ENSMUSG00000066189	ENSG00000006116
0.54960	0.02650	20.7396	ENSMUSG00000020866	ENSG00000006283
0.51980	0.06280	8.27707	ENSMUSG00000026839	ENSG00000007001
0.73270	0.10630	6.89276	ENSMUSG00000020826	ENSG00000007171
0.24920	0.00110	226.545	ENSMUSG00000027168	ENSG00000007372
0.60450	0.00980	61.6837	ENSMUSG00000052026	ENSG00000011083
0.34980	0.01960	17.8469	ENSMUSG00000031343	ENSG00000011677
1.00930	0.00240	420.542	ENSMUSG00000022044	ENSG00000015592
0.67740	0.18010	3.76124	ENSMUSG00000074196	ENSG00000016602
0.70890	0.19030	3.72517	ENSMUSG00000074195	ENSG00000016602
0.74660	0.19530	3.82284	ENSMUSG00000068547	ENSG00000016602
0.39620	0.00610	64.9508	ENSMUSG00000010803	ENSG00000022355
0.54230	0.01410	38.461	ENSMUSG00000067578	ENSG00000054803
0.79010	0.08030	9.83935	ENSMUSG00000032356	ENSG00000058335
0.45080	0.13530	3.33186	ENSMUSG00000032899	ENSG00000060140
0.49200	0.04910	10.0204	ENSMUSG00000000632	ENSG00000063015
0.57990	0.04250	13.6447	ENSMUSG00000019894	ENSG00000072041
0.53140	0.01970	26.9746	ENSMUSG00000034891	ENSG00000074317
0.80970	0.03130	25.869	ENSMUSG00000025905	ENSG00000082556
0.69320	0.21820	3.1769	ENSMUSG00000079262	ENSG00000084453
0.69230	0.21710	3.18885	ENSMUSG00000079263	ENSG00000084453
0.73160	0.16700	4.38084	ENSMUSG00000030237	ENSG00000084453
0.71010	0.21430	3.31358	ENSMUSG00000084927	ENSG00000084453
0.69730	0.19790	3.5235	ENSMUSG00000041698	ENSG00000084453
0.72570	0.16680	4.35072	ENSMUSG00000063975	ENSG00000084453
0.84180	0.09150	9.2	ENSMUSG00000003436	ENSG00000090932
2.46140	0.43040	5.71887	ENSMUSG00000020310	ENSG00000099866
0.68440	0.08570	7.986	ENSMUSG00000022766	ENSG00000099937
0.94740	0.08130	11.6531	ENSMUSG00000058153	ENSG00000100095
1.02730	0.26190	3.92249	ENSMUSG00000009070	ENSG00000100218
0.41080	0.02560	16.0469	ENSMUSG00000079055	ENSG00000100678
0.74550	0.16050	4.64486	ENSMUSG00000016356	ENSG00000101203
0.97610	0.23180	4.21096	ENSMUSG00000027400	ENSG00000101327
0.84460	0.00540	156.407	ENSMUSG00000037771	ENSG00000101438
0.63470	0.12030	5.27598	ENSMUSG00000025333	ENSG00000101850
0.35330	0.02550	13.8549	ENSMUSG00000000223	ENSG00000102385
0.15440	0.00930	16.6022	ENSMUSG00000025551	ENSG00000102466
0.51400	0.04420	11.629	ENSMUSG00000034997	ENSG00000102468
