Ensembl Gene ID	RefSeq ncRNA [e.g. NR_002834]	RefSeq ncRNA predicted [e.g. XR_108264]	Transcript Start (bp)	Transcript End (bp)
ENSG00000002745			121325367	121339458
ENSG00000002745			121329003	121341104
ENSG00000003987			17298030	17413327
ENSG00000003987			17301651	17413327
ENSG00000003987			17302202	17311673
ENSG00000003987			17304439	17311863
ENSG00000003987			17313385	17413307
ENSG00000003987			17326317	17349057
ENSG00000003987			17331200	17349237
ENSG00000003987			17338730	17349485
ENSG00000003987			17372995	17413528
ENSG00000006116			24255553	24362801
ENSG00000006283			50561068	50627070
ENSG00000006283			50561088	50627474
ENSG00000006283			50561285	50627070
ENSG00000006283			50561432	50606472
ENSG00000006283			50561460	50626751
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50626766
ENSG00000006283			50561460	50627070
ENSG00000006283			50561460	50627265
ENSG00000006283			50561460	50627265
ENSG00000006283			50569165	50573674
ENSG00000006283			50599725	50607510
ENSG00000006283			50561068	50627465
ENSG00000007001			157876702	158136154
ENSG00000007001			158101868	158135227
ENSG00000007001			158101870	158135966
ENSG00000007001			158126426	158135298
ENSG00000007171			27756766	27800499
ENSG00000007171			27757246	27798809
ENSG00000007372			31788910	31817961
ENSG00000007372			31788910	31817961
ENSG00000007372			31789182	31810305
ENSG00000007372			31789830	31817937
ENSG00000007372			31789913	31811237
ENSG00000007372			31789917	31811331
ENSG00000007372			31789918	31791309
ENSG00000007372			31789922	31811045
ENSG00000007372			31789922	31811677
ENSG00000007372			31789936	31803333
ENSG00000007372			31789936	31804046
ENSG00000007372			31789936	31810667
ENSG00000007372			31789936	31811308
ENSG00000007372			31793173	31794126
ENSG00000007372			31793483	31800646
ENSG00000007372			31793674	31801335
ENSG00000007372			31794098	31804044
ENSG00000007372			31794780	31806921
ENSG00000007372			31800707	31804025
ENSG00000007372			31800763	31802971
ENSG00000007372			31801578	31804619
ENSG00000007372			31801617	31803673
ENSG00000007372			31801728	31806013
ENSG00000007372			31801745	31812177
ENSG00000007372			31801869	31817874
ENSG00000007372			31802729	31811137
ENSG00000007372			31806344	31811118
ENSG00000007372			31806344	31817948
ENSG00000007372			31806406	31812926
ENSG00000007372			31784792	31817961
ENSG00000007372			31784792	31812183
ENSG00000011083			150189957	150211072
ENSG00000011083			150190085	150222788
ENSG00000011083			150190251	150195204
ENSG00000011677			152166234	152451358
ENSG00000011677			152168228	152389497
ENSG00000011677			152187209	152189943
ENSG00000011677			152251058	152255998
ENSG00000015592			27235323	27258386
ENSG00000015592			27235885	27258401
ENSG00000015592			27236303	27258409
ENSG00000015592			27236475	27258420
ENSG00000015592			27239340	27258404
ENSG00000015592			27239690	27258404
ENSG00000015592			27241168	27258398
ENSG00000016602			86547078	86580754
ENSG00000016602			86571116	86572956
ENSG00000022355			161847191	161897666
ENSG00000022355			161847679	161899969
ENSG00000022355			161847934	161897666
ENSG00000022355			161848444	161899954
ENSG00000022355			161848892	161865788
ENSG00000022355			161850386	161865789
ENSG00000022355			161850597	161873230
ENSG00000022355			161873098	161891002
ENSG00000054803			55997440	56005472
ENSG00000058335			78959947	79090764
ENSG00000058335			78959947	79090773
ENSG00000058335			78961942	79005665
ENSG00000058335			78971903	78979125
ENSG00000058335			78978380	79064663
ENSG00000058335			78980146	78981666
ENSG00000058335			78980425	78985310
ENSG00000058335			78980657	78998266
ENSG00000058335			78991712	78998071
ENSG00000060140			10618939	10674292
ENSG00000060140			10627640	10629638
ENSG00000060140			10631234	10674050
ENSG00000060140			10631247	10673658
ENSG00000060140			10633981	10674030
ENSG00000060140			10634055	10674318
ENSG00000063015			28954901	29006145
ENSG00000063015			28954905	28981872
ENSG00000063015			28954905	29006298
ENSG00000063015			28954906	28981592
ENSG00000063015			28955131	28956439
ENSG00000063015			28955131	29005913
ENSG00000063015			28956364	28957813
ENSG00000063015			28960240	28960973
ENSG00000063015			28981550	29006440
ENSG00000063015			28954931	29006048
ENSG00000072041			84859488	84912876
ENSG00000072041			84859713	84873330
ENSG00000072041			84861594	84912801
ENSG00000072041			84861603	84867833
ENSG00000072041			84870562	84874528
ENSG00000072041			84873087	84912825
ENSG00000072041			84873129	84912793
ENSG00000072041			84880845	84912793
ENSG00000072041			84883998	84912821
ENSG00000072041			84891833	84912024
ENSG00000072041			84892062	84913615
ENSG00000074317			176620084	176630364
ENSG00000074317			176620241	176630529
ENSG00000074317			176620681	176629994
ENSG00000074317			176620785	176630000
ENSG00000074317			176621214	176630048
ENSG00000074317			176620210	176630556
ENSG00000082556			53225724	53251697
ENSG00000082556			53228791	53251617
ENSG00000082556			53229203	53238732
ENSG00000082556			53229213	53251412
ENSG00000082556			53225716	53251697
ENSG00000082556			53225716	53251037
ENSG00000084453			21264600	21395437
ENSG00000084453			21269338	21334671
ENSG00000084453			21269414	21334900
ENSG00000084453			21269459	21395261
ENSG00000084453			21273942	21324681
ENSG00000084453			21274903	21324736
ENSG00000084453			21304523	21418016
ENSG00000084453			21306882	21334907
ENSG00000084453			21306914	21403663
ENSG00000084453			21311627	21419594
ENSG00000084453			21314585	21334913
ENSG00000084453			21314611	21403657
ENSG00000084453			21314620	21419584
ENSG00000084453			21314664	21334895
ENSG00000084453			21318831	21395397
ENSG00000084453			21334609	21395397
ENSG00000084453			21334643	21395397
ENSG00000090932			39498895	39505653
ENSG00000090932			39498895	39508468
ENSG00000090932			39498967	39507289
ENSG00000090932			39498968	39499472
ENSG00000090932			39498968	39508481
ENSG00000099866			489176	505343
ENSG00000099866			496454	505340
ENSG00000099866			496494	505343
ENSG00000099866			496500	504965
ENSG00000099866			497818	498727
ENSG00000099866			496500	504965
ENSG00000099866			496454	505207
ENSG00000099866			496454	505207
ENSG00000099866			496454	505207
ENSG00000099866			496454	505207
ENSG00000099937			20773879	20787720
ENSG00000099937			20779181	20787232
ENSG00000100095			26169474	26380471
ENSG00000100095			26169514	26383596
ENSG00000100095			26169575	26380373
ENSG00000100095			26169658	26380334
ENSG00000100095			26292251	26380468
ENSG00000100095			26292251	26380468
ENSG00000100095			26347789	26351456
ENSG00000100095			26364749	26377720
ENSG00000100095			26169474	26383597
ENSG00000100218			23059415	23142093
ENSG00000100218			23124227	23134074
ENSG00000100218			23131177	23138914
ENSG00000100218			23135993	23140300
ENSG00000100218			23136198	23145021
ENSG00000100249			29058672	29061844
ENSG00000100678			70044217	70189070
ENSG00000100678			70044217	70189070
ENSG00000100678			70044217	70189070
ENSG00000100678			70044255	70080206
ENSG00000100678			70044419	70080180
ENSG00000100678			70045947	70168484
ENSG00000100678			70045947	70168484
ENSG00000100678			70046075	70080180
ENSG00000100678			70059106	70060939
ENSG00000100678			70044220	70189070
ENSG00000101203			63293186	63330933
ENSG00000101203			63293224	63330933
ENSG00000101203			63295040	63334851
ENSG00000101203			63319086	63328498
ENSG00000101203			63320099	63328479
ENSG00000101203			63324313	63330933
ENSG00000101203			63327202	63330933
ENSG00000101203			63329153	63330933
